"","VIP","Coefficient"
"NaturHazard",0.336217229299617,-3322.71246045012
"discount_rate",4.79969568774136,-47433.6449123938
"BadMaintenance",0.285727958701466,-2823.74538227575
"BadDesign",0.428465832876654,-4234.37182187861
"NonCompliance",0.097925598407998,-967.763034348639
"dredge_NonPopInvolv",0.0232578960573841,-229.849318533457
"dredge_NonDonorsInvolv",0.0210045539658534,207.580359084881
"check_NonPopInvolv",0.0738234576549713,-729.570352877702
"check_NonInstInvolv",0.000811175174756515,8.01654890317766
"check_NonDonorsInvolv",0.00498261052672133,49.2413256667265
"buffer_NonPopInvolv",0.241822464407116,-2389.84336815839
"buffer_NonInstInvolv",0.0123701319784172,-122.249510376731
"buffer_NonDonorsInvolv",0.0606564209383945,-599.445323126814
"current_irrig_area",0.638988003658689,6314.88578457955
"TLU_no_buffer",0.174947532017985,-1728.94276052443
"change_TLU_buffer_perc",0.648976609374895,6413.59953802073
"profit_per_TLU",0.00696623811330886,68.8447948660204
"var_CV",0.0604930415891341,597.830704504506
"pipe_blocked_area_lost_perc",1.27926501630609,-12642.5103756662
"dredging_study_cost",0.0676176769675484,668.240881869108
"dredging_supervision_cost",0.152749392706178,-1509.56663205
"dredging_admin_cost",0.0198106230641534,195.781174693709
"dredging_transport_cost",0.112678404096981,1113.55964147522
"dredging_communication_cost",0.0524999548920341,-518.837938960523
"dredging_culvert_feasibility_cost",0.01630590948728,-161.145366479941
"dredging_culvert_supervision_cost",0.0500435264197501,-494.561950754729
"check_location_cost",0.0673959896494695,-666.050026820903
"check_feasibility_cost",0.219152818601315,-2165.80751267937
"check_topobatymetry_cost",0.0678367217865971,-670.405622061531
"check_supervision_cost",0.00705595356921795,69.7314200513659
"check_training_cost",0.0167902434332941,-165.931862522373
"check_communication_cost",0.155449702348519,1536.25280906232
"check_tech_devices_cost",0.0790369414434161,781.09331492907
"check_material_cost",0.240267145911476,-2374.47272175757
"check_rocks_cost",0.284437308113282,-2810.9903524387
"check_transport_cost",0.0896901492790144,-886.375089134529
"buffer_communication_cost",0.329560645013881,-3256.92786161702
"buffer_zoning_cost",0.663828143563813,-6560.37184296512
"buffer_adaptation_cost",2.16672787361928,-21412.9826692007
"buffer_tech_devices_cost",0.166775659257918,1648.18311741616
"buffer_nursery_cost",0.271457966343148,-2682.72024350376
"buffer_wells_cost",1.36047751676075,-13445.1039481823
"buffer_training_cost",0.766935406661179,-7579.34338279428
"current_annual_fish_value_USD",0.141951192092702,-1402.85194701266
"Hazard_reduction_irrigated_area",0.0786895318095566,-777.65999200951
"BadMaint_reduction_irrigated_area",0.364856162580769,-3605.74061063003
"BadDesign_reduction_irrigated_area",0.663340643160548,-6555.55405397858
"Hazard_reduction_fish_perc",0.149322271559117,-1475.69764156866
"maintenance_check_dams",0.0202290464026166,-199.916300199772
"maintenance_buffer_strips",2.47988431807169,-24507.7937894393
"scheme2_area_no_dredging_ha",0.965446818723856,-9541.15939018994
"dredging_bump_scheme2_area_perc",0.0817111669650298,807.521712073469
"scheme2_time_until_dredging_benefits_gone_baseline",0.143799100122031,-1421.11414924307
"check_dams_added_scheme2_area_benefit_time",0.177795128981465,1757.08452450424
"scheme2_vegetable_yield_t_ha",0.097380394316376,-962.374980819989
"scheme2_vegetable_profit_USD_t",0.408665159469214,-4038.68897601953
"scheme2_rice_yield_t_ha",0.0724753975420712,-716.247965610697
"scheme2_rice_profit_USD_t",0.464141495763101,-4586.94140867387
"buffer_vegetable_area_ha",0.973457525861371,9620.32629213095
"buffer_fruit_area_ha",1.17831374017422,11644.8456700221
"buffer_rainfed_crop_area_ha",0.227398558375584,2247.29715659401
"buffer_vegetable_yield_t_ha",1.78367005837922,17627.361752562
"buffer_fruit_yield_t_ha",1.84344000483634,18218.0463711558
"buffer_rainfed_crop_yield_t_ha",0.726129776082052,7176.07619311387
"buffer_vegetable_profit_USD_t",2.04408412655369,20200.9391715488
"buffer_fruit_profit_USD_t",1.30702765048805,12916.8783809094
"buffer_rainfed_crop_profit_USD_t",0.852084149778755,8420.83740836163
"proportion_irrigation_scheme_rice",0.874355283118377,-8640.93491023582
"irrigation_scheme_rice_yield_t_ha",0.0728827557966461,720.273738921491
"irrigation_scheme_rice_profit_USD_t",0.641149462247708,6336.24669282759
"irrigation_scheme_vegetable_yield_t_ha",3.14417751554913,31072.7615909066
"irrigation_scheme_vegetable_profit_USD_t",5.23231678922016,51709.0817409338
"baseline_time_until_irrig_area_declines",0.816565683642293,-8069.82133981112
"dredging_delay_of_irrig_area_decline",0.482955726072116,4772.87559655523
"check_dam_delay_of_irrig_area_decline",0.189877461708922,1876.48981967146
"buffer_strip_delay_of_irrig_area_decline",0.743402450481625,7346.77574522283
"baseline_start_losses_to_half_irrig_area_lost",2.31522095214093,-22880.4856978893
"dredging_delay_of_irrig_area_halved",0.0638237433304984,-630.74681710566
"check_dam_delay_of_irrig_area_halved",0.0655024486311249,647.336850375028
"buffer_strip_delay_of_irrig_area_halved",0.0144105292158837,-142.414013365828
"current_risk_of_pipe_blockage",0.00259492959277993,-25.6447443513878
"baseline_time_until_pipes_blocked_every_second_year",0.0442282075938111,437.091272155987
"dredging_delay_of_pipes_blocked_every_second_year",0.0935584953481966,924.604544871168
"check_dam_delay_of_pipes_blocked_every_second_year",0.0851176053133934,841.186301985892
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.200355754781513,1980.0429749606
"current_chance_of_blocked_pipe_cleared",0.00393016112262982,38.8403514029958
"baseline_time_until_chance_cleared_50percent",0.0454171728203333,448.841382587379
"dredging_delay_of_time_until_chance_cleared_50percent",0.011272899701789,111.405963289168
"check_dam_delay_of_time_until_chance_cleared_50percent",0.0447444023795381,442.192637276767
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.118981420576134,1175.85005840992
"baseline_time_until_irrig_area2_declines",0.14945021396093,-1476.96204974194
"dredging_delay_of_irrig_area2_decline",0.139790717319007,1381.50076145326
