"","VIP","Coefficient"
"NaturHazard",0.461880158842667,-2368.03936800266
"discount_rate",4.10631972418193,-21052.9215821565
"BadMaintenance",0.495302635539835,-2539.39494385887
"BadDesign",0.41815134420089,-2143.84364838723
"NonCompliance",0.0940118557176389,-481.994671423391
"dredge_NonPopInvolv",0.368809767103784,-1890.87154121108
"dredge_NonDonorsInvolv",0.00764622169247399,39.2018441095715
"check_NonPopInvolv",0.276753986019485,-1418.90557885826
"check_NonInstInvolv",0.344196475423899,-1764.68027155328
"check_NonDonorsInvolv",0.312304768242638,-1601.17288403686
"buffer_NonPopInvolv",0.122861227703006,629.904139486887
"buffer_NonInstInvolv",0.0622592603301678,319.200503987841
"buffer_NonDonorsInvolv",0.052237831197037,267.821075240857
"current_irrig_area",0.729909135409043,3742.21220509749
"TLU_no_buffer",0.0677687556832442,347.447445633059
"change_TLU_buffer_perc",0.20701424586867,-1061.35298208681
"profit_per_TLU",0.00610820469973105,31.316498273114
"var_CV",0.105291843071805,539.826673110081
"pipe_blocked_area_lost_perc",2.01829402100168,-10347.7051491281
"dredging_study_cost",0.0586107969144345,-300.494991668753
"dredging_supervision_cost",0.207200573340547,-1062.30827488365
"dredging_admin_cost",0.164296880152516,-842.342916864071
"dredging_transport_cost",0.226397154417347,1160.72830625027
"dredging_communication_cost",0.0257502745334117,-132.020531006976
"dredging_culvert_feasibility_cost",0.160349162423908,822.103140774686
"dredging_culvert_supervision_cost",0.0617476470021453,316.577484837186
"check_location_cost",0.128503985779819,-658.834313286713
"check_feasibility_cost",0.341660598268172,-1751.67894031571
"check_topobatymetry_cost",0.0164463927309288,84.3199360328843
"check_supervision_cost",0.0114738390247553,-58.8258707211559
"check_training_cost",0.0109566056351856,56.1740377608154
"check_communication_cost",0.155519192984229,-797.34009875948
"check_tech_devices_cost",0.110158168439854,564.776110379532
"check_material_cost",0.26010239617492,-1333.53360620075
"check_rocks_cost",0.251437149038734,-1289.1072632217
"check_transport_cost",0.0194156658700931,-99.5432695172939
"buffer_communication_cost",0.0114386371211749,58.6453921015161
"buffer_zoning_cost",0.0957178776603693,490.741371288535
"buffer_adaptation_cost",0.106042780723952,-543.676697600535
"buffer_tech_devices_cost",0.249127222860476,1277.26437276067
"buffer_nursery_cost",0.0939956828089949,-481.911753628307
"buffer_wells_cost",0.149729083296043,-767.654459694506
"buffer_training_cost",0.0449597064733106,-230.506448186508
"current_annual_fish_value_USD",0.129295244325452,-662.891061234105
"Hazard_reduction_irrigated_area",0.0334058923461459,-171.270548614059
"BadMaint_reduction_irrigated_area",0.428893560405006,-2198.91852091409
"BadDesign_reduction_irrigated_area",0.75202997975958,-3855.62480633758
"Hazard_reduction_fish_perc",0.271815310893017,-1393.58520754255
"maintenance_check_dams",0.194102264951612,-995.153820799802
"maintenance_buffer_strips",0.0734846903530003,-376.752792623564
"scheme2_area_no_dredging_ha",0.636016297857182,3260.82773460323
"dredging_bump_scheme2_area_perc",0.155896723088488,799.27567908779
"scheme2_time_until_dredging_benefits_gone_baseline",0.0412413243677011,-211.442465803235
"check_dams_added_scheme2_area_benefit_time",0.222947564694676,1143.04241065517
