"","VIP","Coefficient"
"NaturHazard",0.316455622208509,-2785.71343827838
"discount_rate",4.62832204640931,-40742.4549179515
"BadMaintenance",0.204262104076959,-1798.08999532732
"BadDesign",0.418532862349642,-3684.28473753045
"NonCompliance",0.135728890208042,-1194.8019465618
"dredge_NonPopInvolv",0.0812255533985564,-715.016892589347
"dredge_NonDonorsInvolv",0.0584604212968881,-514.618700965452
"check_NonPopInvolv",0.111027178303096,-977.356320783826
"check_NonInstInvolv",0.117759907246332,1036.62356768109
"check_NonDonorsInvolv",0.0688605463272783,606.169509431873
"buffer_NonPopInvolv",0.57211819509095,-5036.27438572831
"buffer_NonInstInvolv",0.196750673488137,-1731.96794956954
"buffer_NonDonorsInvolv",0.142097468362358,-1250.86362631137
"current_irrig_area",0.562279016593249,4949.66150910637
"TLU_no_buffer",0.143706410937452,-1265.02691695408
"change_TLU_buffer_perc",0.768316096634887,6763.37636318298
"profit_per_TLU",0.0759061939331458,668.191334419728
"var_CV",0.0982904745499752,865.236945065918
"pipe_blocked_area_lost_perc",1.16588298173586,-10263.1006111236
"dredging_study_cost",0.03799614589278,334.474620730745
"dredging_supervision_cost",0.162319739147214,-1428.87737460484
"dredging_admin_cost",0.0859520333484828,756.623417448583
"dredging_transport_cost",0.0617984031665393,544.002476441212
"dredging_communication_cost",0.125421148560144,-1104.06437575659
"dredging_culvert_feasibility_cost",0.100149121175708,-881.598344639672
"dredging_culvert_supervision_cost",0.0448234219959031,-394.574152711174
"check_location_cost",0.0390187745236013,-343.476673844436
"check_feasibility_cost",0.0473127642063309,-416.487475026848
"check_topobatymetry_cost",0.0596362536802707,-524.969384731764
"check_supervision_cost",0.0941165423723874,828.494418968822
"check_training_cost",0.0125378823821464,110.369179715461
"check_communication_cost",0.316455809410112,2785.71508618723
"check_tech_devices_cost",0.0583640577629313,513.770426601956
"check_material_cost",0.11497207799778,-1012.08270679475
"check_rocks_cost",0.279821012184729,-2463.2242224537
"check_transport_cost",0.0617682012297942,-543.736613125321
"buffer_communication_cost",0.390001422244507,-3433.12656388315
"buffer_zoning_cost",0.83795138869869,-7376.36584817548
"buffer_adaptation_cost",2.43355949285931,-21422.2750564418
"buffer_tech_devices_cost",0.158995139109378,1399.61139747456
"buffer_nursery_cost",0.195234107528673,-1718.61783702033
"buffer_wells_cost",1.60548448238753,-14132.8495487671
"buffer_training_cost",0.826594512934794,-7276.3929002735
"current_annual_fish_value_USD",0.142816773255923,-1257.1955640859
"Hazard_reduction_irrigated_area",0.100471265929296,-884.43413868523
"BadMaint_reduction_irrigated_area",0.313093824889815,-2756.12001882166
"BadDesign_reduction_irrigated_area",0.615796723778288,-5420.77020690975
"Hazard_reduction_fish_perc",0.110969087030121,-976.84495164257
"maintenance_check_dams",0.171480526586583,1509.51847207362
"maintenance_buffer_strips",2.79636981071824,-24616.0422297098
"scheme2_area_no_dredging_ha",1.1832595003842,-10416.0636116586
"dredging_bump_scheme2_area_perc",0.126561109313805,1114.09928671321
"scheme2_time_until_dredging_benefits_gone_baseline",0.111874472549841,-984.814930470894
"check_dams_added_scheme2_area_benefit_time",0.124755889034125,1098.20819159832
