"","VIP","Coefficient"
"NaturHazard",0.254454353783851,-623.336132354451
"discount_rate",3.51846572823919,-8619.1758413587
"BadMaintenance",0.427030817710392,-1046.09622256205
"BadDesign",0.849685524718556,-2081.47229874296
"NonCompliance",0.0199963343010175,-48.9849652761333
"dredge_NonPopInvolv",0.97185873122724,-2380.75966753822
"dredge_NonDonorsInvolv",0.471291329771761,-1154.52107752758
"check_NonPopInvolv",0.0788300370000035,-193.109725364263
"check_NonInstInvolv",0.147664868367291,-361.734222912471
"check_NonDonorsInvolv",0.397200228559292,-973.020310160504
"buffer_NonPopInvolv",0.0437499879098659,107.174225352243
"buffer_NonInstInvolv",0.174191503615408,-426.716448502466
"buffer_NonDonorsInvolv",0.0607688130485808,-148.865194602448
"current_irrig_area",0.610085340512444,1494.52438484985
"TLU_no_buffer",0.0895924598079742,-219.474402989636
"change_TLU_buffer_perc",0.218380758137395,-534.96674406927
"profit_per_TLU",0.0760221260143027,186.231193526254
"var_CV",0.183531497958578,449.596607020128
"pipe_blocked_area_lost_perc",1.88390424828223,-4614.9950684196
"dredging_study_cost",0.0220063222842321,53.9088273240991
"dredging_supervision_cost",0.475562454380839,-1164.98403976437
"dredging_admin_cost",0.155141410998105,-380.04948888286
"dredging_transport_cost",0.357579682448652,875.961967054469
"dredging_communication_cost",0.0263532466782031,-64.5574760859778
"dredging_culvert_feasibility_cost",0.0252360569078116,61.8206993705228
"dredging_culvert_supervision_cost",0.0218296218784494,-53.4759648248406
"check_location_cost",0.0430192980941175,-105.384256515293
"check_feasibility_cost",0.0330316919095677,-80.9176450465612
"check_topobatymetry_cost",0.0664974983251029,162.898739207373
"check_supervision_cost",0.00182086862656049,4.46057687882963
"check_training_cost",0.274915575707149,673.459931563439
"check_communication_cost",0.041104325106115,100.693152440419
"check_tech_devices_cost",0.355851990627293,871.729645139705
"check_material_cost",0.132408537008089,-324.360829838438
"check_rocks_cost",0.0277624905266484,-68.0096968751744
"check_transport_cost",0.0814083476428399,199.425805872279
"buffer_communication_cost",0.048006192852243,-117.600638922446
"buffer_zoning_cost",0.0764142034190309,187.19166446893
"buffer_adaptation_cost",0.0625428272951677,153.210992435204
"buffer_tech_devices_cost",0.142791352966252,349.795585605309
"buffer_nursery_cost",0.175907014664245,-430.918931212201
"buffer_wells_cost",0.260054486136986,-637.054761215647
"buffer_training_cost",0.0284739665201682,-69.7525976645254
"current_annual_fish_value_USD",0.253210252082653,-620.288459830289
"Hazard_reduction_irrigated_area",0.147532479203687,-361.409909541608
"BadMaint_reduction_irrigated_area",0.57074991623986,-1398.16450392825
"BadDesign_reduction_irrigated_area",0.396015966597237,-970.119226881146
"Hazard_reduction_fish_perc",0.287367777970249,-703.964057284039
"maintenance_check_dams",0.0532862013345559,130.535061215568
"maintenance_buffer_strips",0.0670752816427858,-164.31413341552
"scheme2_area_no_dredging_ha",0.506034866804545,1239.63222487594
"dredging_bump_scheme2_area_perc",0.0770972623526754,188.864952064668
"scheme2_time_until_dredging_benefits_gone_baseline",0.0448753680444255,109.93106598033
"check_dams_added_scheme2_area_benefit_time",0.114046114245674,279.378453175691
"scheme2_vegetable_yield_t_ha",0.411621644539346,1008.34841332088
"scheme2_vegetable_profit_USD_t",0.368414271160439,902.503429296428
"scheme2_rice_yield_t_ha",0.147133627686241,-360.432844073592
"scheme2_rice_profit_USD_t",0.0920314069024227,-225.449084995518
"buffer_vegetable_area_ha",0.239539887386952,586.800204940646
"buffer_fruit_area_ha",0.188202443489303,461.039009471743
"buffer_rainfed_crop_area_ha",0.173109332032239,-424.065455744175
"buffer_vegetable_yield_t_ha",0.187131528582649,-458.415592163029
"buffer_fruit_yield_t_ha",0.00876295312623796,-21.4665822316898
"buffer_rainfed_crop_yield_t_ha",0.00800839395662121,-19.6181407040552
"buffer_vegetable_profit_USD_t",0.196078456955091,480.332858050598
"buffer_fruit_profit_USD_t",0.112453680435377,275.477472439538
"buffer_rainfed_crop_profit_USD_t",0.0231196069475606,56.6360377094956
"proportion_irrigation_scheme_rice",1.02830657770579,-2519.03980218886
"irrigation_scheme_rice_yield_t_ha",0.0576782836740506,141.294333272703
"irrigation_scheme_rice_profit_USD_t",0.394776013626968,967.08171749176
"irrigation_scheme_vegetable_yield_t_ha",3.80472538089708,9320.42532710524
"irrigation_scheme_vegetable_profit_USD_t",6.71337887438911,16445.745810058
"baseline_time_until_irrig_area_declines",0.430331898356236,-1054.18287076348
"dredging_delay_of_irrig_area_decline",3.7999074310322,9308.62280853957
"check_dam_delay_of_irrig_area_decline",0.195928297786565,-479.96501354743
"buffer_strip_delay_of_irrig_area_decline",0.0858356851980217,210.271442534558
"baseline_start_losses_to_half_irrig_area_lost",2.51781052814502,-6167.8735430419
"dredging_delay_of_irrig_area_halved",0.571781299842587,1400.69108151019
"check_dam_delay_of_irrig_area_halved",0.130279616802985,-319.145619852807
"buffer_strip_delay_of_irrig_area_halved",0.058649589840478,143.673739323766
