"","VIP","Coefficient"
"NaturHazard",0.472283888742833,-1650.93327729123
"discount_rate",3.76572008642787,-13163.5923897311
"BadMaintenance",0.389405838810268,-1361.2216571153
"BadDesign",0.347284418997226,-1213.98044200374
"NonCompliance",0.286955151344916,-1003.09119099217
"dredge_NonPopInvolv",0.16641358094929,-581.72155589237
"dredge_NonDonorsInvolv",0.210673967447191,736.439823182119
"check_NonPopInvolv",0.637812803317252,-2229.56236021895
"check_NonInstInvolv",0.678072673299286,-2370.29627191279
"check_NonDonorsInvolv",0.497672400827673,-1739.68231248136
"buffer_NonPopInvolv",0.0792479320551712,277.022043954663
"buffer_NonInstInvolv",0.105318909757946,368.156731558764
"buffer_NonDonorsInvolv",0.401538968358107,1403.63467988754
"current_irrig_area",0.825207757700549,2884.62719211779
"TLU_no_buffer",0.115246618693142,402.860403310101
"change_TLU_buffer_perc",0.252209698852202,-881.633683924853
"profit_per_TLU",0.0752581508123982,263.075214982072
"var_CV",0.0852128384048429,297.873194339683
"pipe_blocked_area_lost_perc",2.15384346180074,-7529.05599771412
"dredging_study_cost",0.179650669670121,-627.993619760246
"dredging_supervision_cost",0.100277088944251,-350.532353599089
"dredging_admin_cost",0.263837368427121,-922.279801855488
"dredging_transport_cost",0.145235394721466,507.690293701203
"dredging_communication_cost",0.213191683115832,745.240844515245
"dredging_culvert_feasibility_cost",0.260010147222425,908.901223849777
"dredging_culvert_supervision_cost",0.174259985333158,609.149741382442
"check_location_cost",0.161798888845108,-565.59026507166
"check_feasibility_cost",0.495398276647403,-1731.73279869233
"check_topobatymetry_cost",0.107953788386572,377.367312129702
"check_supervision_cost",0.0559358220085766,195.53135761716
"check_training_cost",0.0718653732373699,-251.215294424605
"check_communication_cost",0.396350864619742,-1385.49894984918
"check_tech_devices_cost",0.00883844323497516,-30.8959937102903
"check_material_cost",0.393947804300341,-1377.09872205568
"check_rocks_cost",0.310579470505316,-1085.67324721914
"check_transport_cost",0.0762903858544064,-266.683534514999
