"","VIP","Coefficient"
"NaturHazard",0.255752581618776,-2044.75078821392
"discount_rate",4.46302654541417,-35682.0525086943
"BadMaintenance",0.166671515052695,-1332.54456169988
"BadDesign",0.396256021149834,-3168.08067567577
"NonCompliance",0.139755108205806,-1117.34695248044
"dredge_NonPopInvolv",0.0722021668073708,577.258835690619
"dredge_NonDonorsInvolv",0.0205835527899902,164.566220701193
"check_NonPopInvolv",0.209417775245599,-1674.30239917472
"check_NonInstInvolv",0.201278347940554,1609.22739468304
"check_NonDonorsInvolv",0.113664539754631,908.751949967382
"buffer_NonPopInvolv",0.875533151407471,-6999.91800714795
"buffer_NonInstInvolv",0.313048786155961,-2502.83593694453
"buffer_NonDonorsInvolv",0.226527407314704,-1811.09450284741
"current_irrig_area",0.472097634885148,3774.43701617934
"TLU_no_buffer",0.134470584521749,-1075.09700176668
"change_TLU_buffer_perc",0.935257658065376,7477.41751581947
"profit_per_TLU",0.0708814877770722,566.699960894172
"var_CV",0.0189336808733163,151.375437324861
"pipe_blocked_area_lost_perc",1.07908803250988,-8627.34636366538
"dredging_study_cost",0.0295335098006428,236.121438389245
"dredging_supervision_cost",0.0239027633543686,-191.103424645735
"dredging_admin_cost",0.192232252907778,1536.90355016327
"dredging_transport_cost",0.0467764499533035,373.979344828027
"dredging_communication_cost",0.123336622741524,-986.080589959762
"dredging_culvert_feasibility_cost",0.10258060707983,-820.135522598948
"dredging_culvert_supervision_cost",0.0717644827795125,-573.759536659941
"check_location_cost",0.0152424437077251,-121.863867760032
"check_feasibility_cost",0.154721583470998,-1237.00444294089
"check_topobatymetry_cost",0.00450591333277794,36.0249338657894
"check_supervision_cost",0.0806729885569886,644.983350296571
"check_training_cost",0.000866795357851718,6.93005904366343
"check_communication_cost",0.314627188609799,2515.45531947892
"check_tech_devices_cost",0.0151765096520323,121.336722690783
"check_material_cost",0.0630561797420692,-504.13635089535
"check_rocks_cost",0.377196524925365,-3015.69934024107
"check_transport_cost",0.136509900765072,-1091.40140608416
"buffer_communication_cost",0.380197241286129,-3039.69017194663
"buffer_zoning_cost",0.892775611011731,-7137.77207158555
"buffer_adaptation_cost",2.69205672636232,-21523.087189599
"buffer_tech_devices_cost",0.178930697269852,1430.55715004887
"buffer_nursery_cost",0.0968692046370103,-774.472661356867
"buffer_wells_cost",1.74683678211528,-13966.0208491481
"buffer_training_cost",0.951676755241221,-7608.68876899538
"current_annual_fish_value_USD",0.13314755314218,-1064.51931985597
"Hazard_reduction_irrigated_area",0.0575778116398245,-460.33660731392
"BadMaint_reduction_irrigated_area",0.238901719145079,-1910.02755645966
"BadDesign_reduction_irrigated_area",0.550088785487874,-4397.97897872478
"Hazard_reduction_fish_perc",0.0184403203317343,-147.431002629859
"maintenance_check_dams",0.231181136938649,1848.30123310392
"maintenance_buffer_strips",3.11221688619158,-24882.2822856922
"scheme2_area_no_dredging_ha",1.39052499086368,-11117.2956812528
"dredging_bump_scheme2_area_perc",0.138683090631839,1108.77613467882
"scheme2_time_until_dredging_benefits_gone_baseline",0.0829635818377951,-663.296723271191
"check_dams_added_scheme2_area_benefit_time",0.130269733396403,1041.51105086306
"scheme2_vegetable_yield_t_ha",0.281763488096676,-2252.70889047904
"scheme2_vegetable_profit_USD_t",0.620615642096522,-4961.84365108903
"scheme2_rice_yield_t_ha",0.0198559576324388,158.749072101999
"scheme2_rice_profit_USD_t",0.47890678575619,-3828.87641429804
"buffer_vegetable_area_ha",1.12036137146328,8957.32814458436
"buffer_fruit_area_ha",1.35759488613954,10854.0183482754
"buffer_rainfed_crop_area_ha",0.358611765806003,2867.1135444788
"buffer_vegetable_yield_t_ha",2.25641139269082,18040.0875898752
"buffer_fruit_yield_t_ha",2.24163135440761,17921.9206695723
"buffer_rainfed_crop_yield_t_ha",0.945244706770364,7557.26431768635
"buffer_vegetable_profit_USD_t",2.63341413516762,21054.2376326979
"buffer_fruit_profit_USD_t",1.50448599581114,12028.4178807514
"buffer_rainfed_crop_profit_USD_t",1.06227156549845,8492.8981248287
"proportion_irrigation_scheme_rice",0.675316840524422,-5399.18163569018
"irrigation_scheme_rice_yield_t_ha",0.0180970297572496,-144.68638254305
"irrigation_scheme_rice_profit_USD_t",0.610892234292122,4884.10466739499
"irrigation_scheme_vegetable_yield_t_ha",2.48220568047768,19845.3207765908
"irrigation_scheme_vegetable_profit_USD_t",3.93743052001176,31479.8939990076
"baseline_time_until_irrig_area_declines",0.699786313515847,-5594.8159236012
"dredging_delay_of_irrig_area_decline",0.219720817277726,1756.67557868614
"check_dam_delay_of_irrig_area_decline",0.0760411763522575,-607.951850569228
"buffer_strip_delay_of_irrig_area_decline",1.61667630585025,12925.3833128517
"baseline_start_losses_to_half_irrig_area_lost",2.04474691210105,-16347.8227033062
"dredging_delay_of_irrig_area_halved",0.131170727366456,-1048.71452900112
"check_dam_delay_of_irrig_area_halved",0.104736028155218,837.368189088323
"buffer_strip_delay_of_irrig_area_halved",0.290007557218382,2318.62050993564
"current_risk_of_pipe_blockage",0.138718586284316,1109.05992365534
"baseline_time_until_pipes_blocked_every_second_year",0.0600396081921456,480.018756400823
"dredging_delay_of_pipes_blocked_every_second_year",0.000799833104057467,6.39469349482034
"check_dam_delay_of_pipes_blocked_every_second_year",0.101308098084307,-809.961768906473
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.245572795285107,1963.3630423
"current_chance_of_blocked_pipe_cleared",0.141940409517377,-1134.81851249769
"baseline_time_until_chance_cleared_50percent",0.111056411536797,887.899874123515
"dredging_delay_of_time_until_chance_cleared_50percent",0.0131190268464971,-104.887076076362
"check_dam_delay_of_time_until_chance_cleared_50percent",0.0559756630856153,-447.52737388089
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.213539417758171,1707.25507446337
"baseline_time_until_irrig_area2_declines",0.238147901785566,-1904.00076044346
"dredging_delay_of_irrig_area2_decline",0.178556479864516,1427.56526887339
"check_dam_delay_of_irrig_area2_decline",0.278481406437731,2226.46853342523
"baseline_start_losses_to_half_irrig_area2_lost",0.15190074110051,1214.45171004579
"dredging_delay_of_irrig_area2_halved",0.0840308593362243,-671.829644003967
"check_dam_delay_of_irrig_area2_halved",0.181464681356937,1450.81644098776
"time_to_start_fish_decline_baseline",0.316592426910716,2531.16746806954
"dredging_delay_start_fish_decline",0.0850232370219675,679.763738128398
"check_dams_delay_start_fish_decline",0.219401257076958,-1754.12068376283
"buffer_strips_delay_start_fish_decline",0.157822769649156,-1261.79853433208
"time_to_halve_fish_population_baseline",0.036453796587817,-291.449372024077
"dredging_delay_in_time_to_halve_fish_population",0.191917431477925,1534.38654187829
"check_dams_delay_in_time_to_halve_fish_population",0.143808546032671,1149.75432893388
"buffer_strips_delay_in_time_to_halve_fish_population",0.103535406819151,827.769179734319
