"","VIP","Coefficient"
"NaturHazard",0.199025040121578,-114.623444539904
"discount_rate",0.0612322451682606,35.2651648948819
"BadMaintenance",1.04679747805738,602.876565668949
"BadDesign",0.596564843950121,343.576452808159
"NonCompliance",0.880024181380221,-506.827698095633
"dredge_NonPopInvolv",1.28818393729231,741.896999509317
"dredge_NonDonorsInvolv",0.525728473037218,-302.780034288242
"check_NonPopInvolv",1.20834128119342,695.913638532837
"check_NonInstInvolv",0.196813006405928,113.349479596743
"check_NonDonorsInvolv",1.35109330731091,-778.128062098039
"buffer_NonPopInvolv",0.142514961975276,82.0778924606713
"buffer_NonInstInvolv",0.0727183856993837,-41.8803173970117
"buffer_NonDonorsInvolv",0.607647972641526,349.959500821172
"current_irrig_area",0.997176969408548,574.298887113141
"TLU_no_buffer",0.975815255636822,-561.996147657367
"change_TLU_buffer_perc",0.3582774978482,-206.340874893995
"profit_per_TLU",0.997883721024132,-574.705922853784
"var_CV",1.94406292442212,-1119.63393482277
"pipe_blocked_area_lost_perc",2.78005943956571,-1601.10501067624
"dredging_study_cost",0.0606997764316601,34.9585029760516
"dredging_supervision_cost",0.172525579326791,99.3617494642841
"dredging_admin_cost",0.582494996739016,-335.473279707418
"dredging_transport_cost",0.211383691458144,121.741097601044
"dredging_communication_cost",0.193795509471059,111.611628458253
"dredging_culvert_feasibility_cost",0.915474697915483,527.244527623758
"dredging_culvert_supervision_cost",1.07376716250338,-618.409074178767
"check_location_cost",0.19087146570631,109.927599312492
"check_feasibility_cost",0.278942358734845,-160.649805505589
"check_topobatymetry_cost",0.424582761924404,244.527716885836
"check_supervision_cost",1.09453130356814,-630.367656728484
"check_training_cost",0.247768843522535,142.696206853534
"check_communication_cost",1.7815905673242,1026.06208475956
"check_tech_devices_cost",1.98782300193049,1144.83644609612
"check_material_cost",0.561693967255805,323.493452204883
"check_rocks_cost",0.670845803231422,386.356694989495
"check_transport_cost",0.70926646977029,408.48410738702
"buffer_communication_cost",0.00756381238161482,-4.35618668135754
"buffer_zoning_cost",0.527091297913218,303.56491885099
"buffer_adaptation_cost",1.02154430136232,588.332636439773
"buffer_tech_devices_cost",1.73450066156835,998.941843017633
"buffer_nursery_cost",0.363653501288369,-209.437048278983
"buffer_wells_cost",0.270962707913484,-156.054127178825
"buffer_training_cost",0.50694162605218,291.96022431783
"current_annual_fish_value_USD",1.15454354600779,-664.930191868761
"Hazard_reduction_irrigated_area",0.784466083273058,-451.793425262254
"BadMaint_reduction_irrigated_area",0.43699088911334,-251.673864314402
"BadDesign_reduction_irrigated_area",0.82497691568735,-475.124615898711
"Hazard_reduction_fish_perc",0.0304021031055412,17.5093233348211
"maintenance_check_dams",0.451771244675662,-260.186236752779
"maintenance_buffer_strips",0.663468528760671,-382.107940106002
"scheme2_area_no_dredging_ha",0.739658854190206,-425.987833490346
"dredging_bump_scheme2_area_perc",0.351639575618421,-202.517931257855
"scheme2_time_until_dredging_benefits_gone_baseline",1.16000389395867,-668.074941344174
"check_dams_added_scheme2_area_benefit_time",0.0675623823496287,-38.9108475069558
"scheme2_vegetable_yield_t_ha",1.68075069734884,967.985908834813
"scheme2_vegetable_profit_USD_t",0.872142991015454,-502.28872558176
"scheme2_rice_yield_t_ha",0.0171348526410488,9.8683855569174
"scheme2_rice_profit_USD_t",0.879395587381092,-506.465675259948
"buffer_vegetable_area_ha",0.194384460442391,-111.950819893451
"buffer_fruit_area_ha",0.875645408875103,-504.305854677907
"buffer_rainfed_crop_area_ha",1.03238118809808,594.573867618437
"buffer_vegetable_yield_t_ha",0.332601940754973,191.553686343706
"buffer_fruit_yield_t_ha",1.09320653563148,629.604690098641
"buffer_rainfed_crop_yield_t_ha",0.0351450945868717,-20.2409294718249
"buffer_vegetable_profit_USD_t",2.56429697021508,1476.84206655475
"buffer_fruit_profit_USD_t",2.64059538761146,1520.78421277702
"buffer_rainfed_crop_profit_USD_t",1.06409987068446,612.841441648806
"proportion_irrigation_scheme_rice",0.379745514940082,-218.70483706182
"irrigation_scheme_rice_yield_t_ha",1.41453341730507,814.664790969338
"irrigation_scheme_rice_profit_USD_t",0.293775160436075,-169.192382972895
"irrigation_scheme_vegetable_yield_t_ha",1.4062743939544,809.908215091192
"irrigation_scheme_vegetable_profit_USD_t",3.50355591281953,2017.7845291236
"baseline_time_until_irrig_area_declines",0.455104290406787,-262.105820249796
"dredging_delay_of_irrig_area_decline",0.339742850995032,195.666313219027
"check_dam_delay_of_irrig_area_decline",0.414956915632737,-238.983953860396
"buffer_strip_delay_of_irrig_area_decline",0.328292395919244,-189.071712853492
"baseline_start_losses_to_half_irrig_area_lost",1.30801409190899,-753.31767615651
"dredging_delay_of_irrig_area_halved",1.11854185552756,644.195927629533
"check_dam_delay_of_irrig_area_halved",1.59835251546054,920.530757331797
"buffer_strip_delay_of_irrig_area_halved",0.923133991769093,-531.655704447076
"current_risk_of_pipe_blockage",0.781244963667387,449.938302789969
"baseline_time_until_pipes_blocked_every_second_year",1.32713914571435,-764.332267802077
"dredging_delay_of_pipes_blocked_every_second_year",0.267656123744896,154.149783550339
"check_dam_delay_of_pipes_blocked_every_second_year",0.575747454443348,-331.587203163303
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.426237308123263,245.480610975684
"current_chance_of_blocked_pipe_cleared",0.684010940184731,393.938823069992
"baseline_time_until_chance_cleared_50percent",0.289599007248213,166.787233032834
"dredging_delay_of_time_until_chance_cleared_50percent",0.4728011729632,-272.297892739746
"check_dam_delay_of_time_until_chance_cleared_50percent",1.47166269536415,-847.566955597512
"buffer_strip_delay_of_time_until_chance_cleared_50percent",1.70520362771646,-982.0689564057
"baseline_time_until_irrig_area2_declines",0.174127041993029,100.284071434394
"dredging_delay_of_irrig_area2_decline",0.351609116962863,-202.500389364563
"check_dam_delay_of_irrig_area2_decline",0.638043083727621,-367.46479727901
"baseline_start_losses_to_half_irrig_area2_lost",0.299258967069441,-172.350642883926
"dredging_delay_of_irrig_area2_halved",0.744112734459909,428.552933327883
"check_dam_delay_of_irrig_area2_halved",0.265934245897228,153.158111498139
"time_to_start_fish_decline_baseline",0.561827997222138,-323.570643378432
"dredging_delay_start_fish_decline",0.315801828020433,181.878085780503
"check_dams_delay_start_fish_decline",1.08950998402549,627.475754575053
"buffer_strips_delay_start_fish_decline",0.361721397230366,-208.324301751196
"time_to_halve_fish_population_baseline",0.575168576004689,-331.253812748868
"dredging_delay_in_time_to_halve_fish_population",0.18014229755793,103.748405933288
"check_dams_delay_in_time_to_halve_fish_population",0.908544033260885,-523.252986382638
"buffer_strips_delay_in_time_to_halve_fish_population",0.386406940360752,-222.541316767069
