"","VIP","Coefficient"
"NaturHazard",0.324380367173844,-3197.93992556438
"discount_rate",4.91773884436192,-48482.075320716
"BadMaintenance",0.250716161213388,-2471.71315857977
"BadDesign",0.332720517172259,-3280.16222186886
"NonCompliance",0.235882287292232,2325.47176278707
"dredge_NonPopInvolv",0.137144384941021,-1352.05317137709
"dredge_NonDonorsInvolv",0.0693007231740641,683.208886652663
"check_NonPopInvolv",0.080759219604667,-796.17374806403
"check_NonInstInvolv",0.113385515725394,-1117.82371688548
"check_NonDonorsInvolv",0.156133060495331,1539.25514114418
"buffer_NonPopInvolv",0.297431869149901,-2932.2651607332
"buffer_NonInstInvolv",0.216822195019863,-2137.56572336242
"buffer_NonDonorsInvolv",0.10745346182506,-1059.34190377899
"current_irrig_area",0.377190533813759,3718.57482663711
"TLU_no_buffer",0.188166067289283,1855.05610115528
"change_TLU_buffer_perc",1.06349685271445,10484.6019986928
"profit_per_TLU",0.138686914314609,-1367.26036875814
"var_CV",0.070355312361994,-693.605671447416
"pipe_blocked_area_lost_perc",1.33466431599983,-13157.9365932295
"dredging_study_cost",0.112892144614314,-1112.95976291691
"dredging_supervision_cost",0.212701042093885,-2096.93687890995
"dredging_admin_cost",0.0430632669535433,-424.544006518646
"dredging_transport_cost",0.0919464845416104,-906.464643630298
"dredging_communication_cost",0.0828386200284365,-816.673748401117
"dredging_culvert_feasibility_cost",0.0894032135096966,881.391523313711
"dredging_culvert_supervision_cost",0.0733876452413139,-723.500262377396
"check_location_cost",0.0924186191118587,-911.119234799273
"check_feasibility_cost",0.247596524014367,-2440.95786830452
"check_topobatymetry_cost",0.0690317293673507,-680.556981293184
"check_supervision_cost",0.104968944292831,-1034.84801137328
"check_training_cost",0.0443665607429625,-437.392673286724
"check_communication_cost",0.106537494766261,-1050.31174066105
"check_tech_devices_cost",0.072890649707517,718.600576634379
"check_material_cost",0.0574516140048097,-566.393126115523
"check_rocks_cost",0.0960214957328882,946.6385946596
"check_transport_cost",0.130020513291062,1281.82169043857
"buffer_communication_cost",0.499407937116855,-4923.46868944081
"buffer_zoning_cost",0.657542676153002,-6482.45760109519
"buffer_adaptation_cost",2.09456695763859,-20649.5212979722
"buffer_tech_devices_cost",0.0426523855275619,420.49328628466
"buffer_nursery_cost",0.313819293738463,-3093.8224085578
"buffer_wells_cost",1.32412820127083,-13054.0651344055
"buffer_training_cost",0.674287690601841,-6647.54018832648
"current_annual_fish_value_USD",0.138089019567006,1361.36595689438
"Hazard_reduction_irrigated_area",0.259031491877775,-2553.69077071948
"BadMaint_reduction_irrigated_area",0.512271114704846,-5050.28175626312
"BadDesign_reduction_irrigated_area",0.149441322930379,-1473.28390214226
"Hazard_reduction_fish_perc",0.0467691615189413,-461.078980240613
"maintenance_check_dams",0.150344936577946,-1482.19227778168
"maintenance_buffer_strips",2.55716135391596,-25210.0596008496
"scheme2_area_no_dredging_ha",0.820700986567273,-8090.97194987448
"dredging_bump_scheme2_area_perc",0.0915527526096353,902.582993590245
"scheme2_time_until_dredging_benefits_gone_baseline",0.109996997093072,-1084.41762909654
"check_dams_added_scheme2_area_benefit_time",0.00996738129842222,-98.2645370472295
"scheme2_vegetable_yield_t_ha",0.0512976662244308,-505.723747514797
"scheme2_vegetable_profit_USD_t",0.294643602051475,-2904.77671944781
"scheme2_rice_yield_t_ha",0.120685345368009,-1189.78989926368
"scheme2_rice_profit_USD_t",0.709208248743237,-6991.80839443376
"buffer_vegetable_area_ha",0.721436152527523,7112.35854381062
"buffer_fruit_area_ha",1.46891828365621,14481.4942643498
"buffer_rainfed_crop_area_ha",0.22951346636455,2262.68403336666
"buffer_vegetable_yield_t_ha",1.78411423685534,17588.888623305
"buffer_fruit_yield_t_ha",1.96361654147945,19358.5320566901
"buffer_rainfed_crop_yield_t_ha",0.741980140319327,7314.89373224423
"buffer_vegetable_profit_USD_t",1.74642756290314,17217.3503568448
"buffer_fruit_profit_USD_t",1.31875698249868,13001.1123767832
"buffer_rainfed_crop_profit_USD_t",1.03902613456876,10243.3547023563
"proportion_irrigation_scheme_rice",0.416372166248878,-4104.85130756206
"irrigation_scheme_rice_yield_t_ha",0.0289156892848318,285.068538656719
"irrigation_scheme_rice_profit_USD_t",0.515585730163782,5082.95926139814
"irrigation_scheme_vegetable_yield_t_ha",3.07644698738186,30329.4947704344
"irrigation_scheme_vegetable_profit_USD_t",5.33517555235508,52597.4215314564
"baseline_time_until_irrig_area_declines",0.822317769863554,-8106.91118781051
"dredging_delay_of_irrig_area_decline",0.271129421199857,2672.95955240566
"check_dam_delay_of_irrig_area_decline",0.210465481486124,2074.89735603172
"buffer_strip_delay_of_irrig_area_decline",0.673874073650185,6643.4624996084
"baseline_start_losses_to_half_irrig_area_lost",1.97822603239057,-19502.5613476238
"dredging_delay_of_irrig_area_halved",0.131495406831592,1296.36209243735
"check_dam_delay_of_irrig_area_halved",0.00392124838930334,-38.6580633453925
"buffer_strip_delay_of_irrig_area_halved",0.188508901828676,1858.43597359004
"current_risk_of_pipe_blockage",0.121368675546249,-1196.52658582204
"baseline_time_until_pipes_blocked_every_second_year",0.156795260574371,-1545.78351426961
"dredging_delay_of_pipes_blocked_every_second_year",0.318309017675021,3138.0848513085
"check_dam_delay_of_pipes_blocked_every_second_year",0.0939040111229139,925.763137137302
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.00860651546322496,84.8482898630049
"current_chance_of_blocked_pipe_cleared",0.100097483826177,-986.822176586021
"baseline_time_until_chance_cleared_50percent",0.0131287825355971,-129.431562737388
"dredging_delay_of_time_until_chance_cleared_50percent",0.141214982849237,-1392.1836135645
"check_dam_delay_of_time_until_chance_cleared_50percent",0.00690266887263192,68.0507287572983
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.204026126048738,2011.41425430294
"baseline_time_until_irrig_area2_declines",0.106508725348968,-1050.0281141611
"dredging_delay_of_irrig_area2_decline",0.0751836922807115,-741.206791861664
"check_dam_delay_of_irrig_area2_decline",0.00144958449704058,14.2908899788033
"baseline_start_losses_to_half_irrig_area2_lost",0.148976779981594,-1468.70415381777
"dredging_delay_of_irrig_area2_halved",0.142773183865626,1407.54531157903
"check_dam_delay_of_irrig_area2_halved",0.114541357687442,-1129.21871341466
"time_to_start_fish_decline_baseline",0.0882990967919654,-870.506465858235
"dredging_delay_start_fish_decline",0.255196863601321,-2515.88666139002
"check_dams_delay_start_fish_decline",0.08362648461058,824.440999006098
"buffer_strips_delay_start_fish_decline",0.0197869783043085,-195.072126210746
"time_to_halve_fish_population_baseline",0.26257043386208,2588.5798238532
"dredging_delay_in_time_to_halve_fish_population",0.219956965454621,-2168.47020632522
"check_dams_delay_in_time_to_halve_fish_population",0.159196030478315,1569.45177136793
"buffer_strips_delay_in_time_to_halve_fish_population",0.16870286589214,-1663.1759655925
