"","VIP","Coefficient"
"NaturHazard",0.366674375897762,-3179.09622646368
"discount_rate",4.68237032336842,-40596.5259761608
"BadMaintenance",0.157037079448459,-1361.52406468859
"BadDesign",0.211462596683429,-1833.3976610952
"NonCompliance",0.274277774396626,2378.01028624452
"dredge_NonPopInvolv",0.0844581332957557,-732.258784643211
"dredge_NonDonorsInvolv",0.0477978650772502,414.411321020355
"check_NonPopInvolv",0.0206257939683617,-178.827286777516
"check_NonInstInvolv",0.0442102371904209,-383.306299708054
"check_NonDonorsInvolv",0.18208773475494,1578.71525390188
"buffer_NonPopInvolv",0.541976441142783,-4698.9791818713
"buffer_NonInstInvolv",0.334207141524762,-2897.60270233562
"buffer_NonDonorsInvolv",0.212984041184683,-1846.58870685854
"current_irrig_area",0.400409625597989,3471.58354510496
"TLU_no_buffer",0.264885607178246,2296.57944371793
"change_TLU_buffer_perc",1.2382537537995,10735.7592863431
"profit_per_TLU",0.164391021115992,-1425.28332833402
"var_CV",0.0295355729001497,-256.075784197937
"pipe_blocked_area_lost_perc",1.36035641732013,-11794.3991650889
"dredging_study_cost",0.0814131406611895,-705.858454457994
"dredging_supervision_cost",0.282338673314235,-2447.8989259078
"dredging_admin_cost",0.0458834298196018,397.8130139025
"dredging_transport_cost",0.139924738007678,-1213.15869291384
"dredging_communication_cost",0.122720256326247,-1063.994457868
"dredging_culvert_feasibility_cost",0.0802309179322684,695.608488648001
"dredging_culvert_supervision_cost",0.13362953239344,-1158.57875570378
"check_location_cost",0.0172471720815944,-149.534364236716
"check_feasibility_cost",0.0212465846064337,184.209591363395
"check_topobatymetry_cost",0.0184823140470966,-160.243144069125
"check_supervision_cost",0.0817652753213974,-708.911490184129
"check_training_cost",0.05109895376826,443.032024539975
"check_communication_cost",0.0859153129420187,-744.892648963215
"check_tech_devices_cost",0.0505189002683208,438.00291420662
"check_material_cost",0.0944922446566458,819.255334334528
"check_rocks_cost",0.140643123396324,1219.38715180901
"check_transport_cost",0.195362383773236,1693.80752479856
"buffer_communication_cost",0.524960953646453,-4551.45354155738
"buffer_zoning_cost",0.738745006346776,-6404.97841237413
"buffer_adaptation_cost",2.39090733001569,-20729.3581725398
"buffer_tech_devices_cost",0.0273912237907979,237.484105559172
"buffer_nursery_cost",0.372213375813264,-3227.11979965895
"buffer_wells_cost",1.5064169734789,-13060.7558931331
"buffer_training_cost",0.799908600274346,-6935.27167373447
"current_annual_fish_value_USD",0.0874561330215847,758.25168254339
"Hazard_reduction_irrigated_area",0.22504595103954,-1951.16643201219
"BadMaint_reduction_irrigated_area",0.472086987039793,-4093.03201344856
"BadDesign_reduction_irrigated_area",0.191140792438421,-1657.20598958268
