"","VIP","Coefficient"
"NaturHazard",0.524576111590663,-1286.37988423821
"discount_rate",3.61986769274665,-8876.73853358125
"BadMaintenance",0.633127331633209,-1552.57215412412
"BadDesign",0.599160305754191,-1469.27728450897
"NonCompliance",0.202864176098372,497.469079509162
"dredge_NonPopInvolv",1.10081848689991,-2699.457193069
"dredge_NonDonorsInvolv",0.429537981310494,-1053.32478255371
"check_NonPopInvolv",0.0824398296065307,202.161204299403
"check_NonInstInvolv",0.131358811728585,322.12166984253
"check_NonDonorsInvolv",0.231562451109183,567.843774182736
"buffer_NonPopInvolv",0.400057228208964,981.03127371091
"buffer_NonInstInvolv",0.0266509193904716,-65.3541132408797
"buffer_NonDonorsInvolv",0.0570369191169878,139.867492609476
"current_irrig_area",0.502999482196908,1233.46908367272
"TLU_no_buffer",0.178509634406569,437.746206450422
"change_TLU_buffer_perc",0.334680274895843,820.712121205537
"profit_per_TLU",0.152175863468112,-373.169813315309
"var_CV",0.0734344312631945,180.077920248795
"pipe_blocked_area_lost_perc",1.83144316690635,-4491.1150107274
"dredging_study_cost",0.139804484279187,-342.832378999707
"dredging_supervision_cost",0.403133247726333,-988.574372878482
"dredging_admin_cost",0.214235452046974,-525.354033313193
"dredging_transport_cost",0.0474590724477652,116.380435121772
"dredging_communication_cost",0.0912817879108662,223.843696217459
"dredging_culvert_feasibility_cost",0.180209769976767,441.91532538218
"dredging_culvert_supervision_cost",0.218162056049046,534.98295901154
"check_location_cost",0.01818297791105,-44.5887956075556
"check_feasibility_cost",0.128536540673934,315.200819593435
"check_topobatymetry_cost",0.167045940702658,-409.63462329986
"check_supervision_cost",0.205908290634146,504.933940408494
"check_training_cost",0.073650283933383,-180.607240068655
"check_communication_cost",0.138373590169512,-339.323501339266
"check_tech_devices_cost",0.22957962121704,562.981424505041
"check_material_cost",0.0295092351295633,72.3633532507226
"check_rocks_cost",0.281304076074739,689.82154700008
"check_transport_cost",0.0917533656170216,225.000111962763
"buffer_communication_cost",0.217303419452188,-532.87738687117
"buffer_zoning_cost",0.0419582171471433,102.891087344635
"buffer_adaptation_cost",0.320028186874014,784.78187032885
"buffer_tech_devices_cost",0.0874205678043796,214.375106695647
"buffer_nursery_cost",0.376429733360853,923.091284801791
"buffer_wells_cost",0.101591506987658,-249.125471234467
"buffer_training_cost",0.0108299577803935,-26.5575185907783
"current_annual_fish_value_USD",0.199443701399527,489.081297927195
"Hazard_reduction_irrigated_area",0.231533442302055,-567.772637992712
"BadMaint_reduction_irrigated_area",0.678263265386195,-1663.25572501737
"BadDesign_reduction_irrigated_area",0.0889875639291176,-218.217737438839
"Hazard_reduction_fish_perc",0.043740182565786,107.260871668208
"maintenance_check_dams",0.136970799191527,335.883538946777
"maintenance_buffer_strips",0.0807707612486188,-198.068269235078
"scheme2_area_no_dredging_ha",0.977387493380203,2396.77633580727
"dredging_bump_scheme2_area_perc",0.223276292474297,547.524229411238
"scheme2_time_until_dredging_benefits_gone_baseline",0.0178913375030633,43.8736270248164
"check_dams_added_scheme2_area_benefit_time",0.256523938519269,-629.055016127462
"scheme2_vegetable_yield_t_ha",0.194520283095717,477.007956942403
"scheme2_vegetable_profit_USD_t",0.417629566252852,1024.12264153959
"scheme2_rice_yield_t_ha",0.0498321221033628,-122.199692373123
"scheme2_rice_profit_USD_t",0.0966402140549567,236.983775322535
"buffer_vegetable_area_ha",0.0875190385125188,-214.616579258614
"buffer_fruit_area_ha",0.232380354273835,569.849458686883
"buffer_rainfed_crop_area_ha",0.253535892015319,621.727646788828
"buffer_vegetable_yield_t_ha",0.286388026799975,-702.288549978106
"buffer_fruit_yield_t_ha",0.165465748291857,405.759632263163
"buffer_rainfed_crop_yield_t_ha",0.0677785318838123,-166.208369142378
"buffer_vegetable_profit_USD_t",0.276966256543313,-679.184227336855
"buffer_fruit_profit_USD_t",0.139468997075876,342.009688106579
"buffer_rainfed_crop_profit_USD_t",0.225001823061406,551.755622697838
"proportion_irrigation_scheme_rice",0.831566729020313,-2039.19067029154
"irrigation_scheme_rice_yield_t_ha",0.0444862514743231,-109.090402245358
"irrigation_scheme_rice_profit_USD_t",0.620870512984717,1522.51564829818
"irrigation_scheme_vegetable_yield_t_ha",3.88633983079473,9530.18879660518
"irrigation_scheme_vegetable_profit_USD_t",6.59628246622933,16175.5842247194
"baseline_time_until_irrig_area_declines",0.741368221216849,-1818.0034231734
"dredging_delay_of_irrig_area_decline",3.52093059394354,8634.12227467595
"check_dam_delay_of_irrig_area_decline",0.0936649077789027,-229.687647919101
"buffer_strip_delay_of_irrig_area_decline",0.0214642948998529,52.6353308479915
"baseline_start_losses_to_half_irrig_area_lost",2.47900287957627,-6079.07864425191
"dredging_delay_of_irrig_area_halved",0.961111218147605,2356.86320864246
"check_dam_delay_of_irrig_area_halved",0.255518083507826,-626.588430965478
"buffer_strip_delay_of_irrig_area_halved",0.0577288390730753,-141.564237644844
"current_risk_of_pipe_blockage",0.300037281233489,-735.759624909217
"baseline_time_until_pipes_blocked_every_second_year",0.0724778782855167,-177.732234882068
"dredging_delay_of_pipes_blocked_every_second_year",0.846726295823862,2076.36537451266
"check_dam_delay_of_pipes_blocked_every_second_year",0.223015883231124,546.885646744804
