"","VIP","Coefficient"
"NaturHazard",0.376715961026758,-3432.47843367853
"discount_rate",4.77457428734758,-43503.9259463511
"BadMaintenance",0.202297164620346,-1843.24723821386
"BadDesign",0.254962875699529,-2323.11519225788
"NonCompliance",0.214507353701246,1954.50137933678
"dredge_NonPopInvolv",0.0383286552432795,349.23469171807
"dredge_NonDonorsInvolv",0.106694475020233,972.155476241129
"check_NonPopInvolv",0.198095106775481,-1804.95984287691
"check_NonInstInvolv",0.147361558032417,-1342.69694472438
"check_NonDonorsInvolv",0.105848601735173,964.448232298819
"buffer_NonPopInvolv",0.476854856490877,-4344.90220812157
"buffer_NonInstInvolv",0.260220910784307,-2371.02421098604
"buffer_NonDonorsInvolv",0.165052668316539,-1503.89094975823
"current_irrig_area",0.347480575944137,3166.09782022409
"TLU_no_buffer",0.222824989583193,2030.288202136
"change_TLU_buffer_perc",1.08478519598337,9884.10945009622
"profit_per_TLU",0.203469481273126,-1853.92889772502
"var_CV",0.0418235722078046,-381.07891481797
"pipe_blocked_area_lost_perc",1.40370009494556,-12789.9287572551
"dredging_study_cost",0.0717632411210605,-653.876668266295
"dredging_supervision_cost",0.161744329716714,-1473.74675075945
"dredging_admin_cost",0.00337097223124009,-30.7148904780249
"dredging_transport_cost",0.13861234248247,-1262.97774831724
"dredging_communication_cost",0.112255440608998,-1022.82467114818
"dredging_culvert_feasibility_cost",0.0653783433677051,595.700147738995
"dredging_culvert_supervision_cost",0.0841277757476041,-766.537141510931
"check_location_cost",0.12725249310807,-1159.47154730259
"check_feasibility_cost",0.207404720086797,-1889.78514953471
"check_topobatymetry_cost",0.0646220160849668,-588.808809554846
"check_supervision_cost",0.123853055020906,-1128.49728783927
"check_training_cost",0.0246104105347002,-224.239777826491
"check_communication_cost",0.147092335814688,-1340.24390436553
"check_tech_devices_cost",0.0790867861921675,720.605750958021
"check_material_cost",0.0493324378009674,-449.496560674211
"check_rocks_cost",0.0714309084556411,650.848591877522
"check_transport_cost",0.129013776298287,1175.51962381504
"buffer_communication_cost",0.498577169678948,-4542.82684965905
"buffer_zoning_cost",0.710589927197699,-6474.59851089783
"buffer_adaptation_cost",2.27396797950895,-20719.4460974421
"buffer_tech_devices_cost",0.0646887613206093,589.416964253864
"buffer_nursery_cost",0.385317836402508,-3510.85512798152
"buffer_wells_cost",1.35138074589364,-12313.2167092831
"buffer_training_cost",0.790163013692284,-7199.63522702067
"current_annual_fish_value_USD",0.154014363329417,1403.31452684959
"Hazard_reduction_irrigated_area",0.324627614260261,-2957.87118201161
"BadMaint_reduction_irrigated_area",0.452726028374374,-4125.05040807015
"BadDesign_reduction_irrigated_area",0.186749403577769,-1701.58253591354
"Hazard_reduction_fish_perc",0.0512851203578518,-467.288588243359
"maintenance_check_dams",0.121299887926188,-1105.23389606179
"maintenance_buffer_strips",2.76339730400579,-25178.9216040451
"scheme2_area_no_dredging_ha",0.975476220164576,-8888.13173499522
"dredging_bump_scheme2_area_perc",0.047553515241386,433.287761598363
"scheme2_time_until_dredging_benefits_gone_baseline",0.0418313192678693,-381.149502792326
"check_dams_added_scheme2_area_benefit_time",0.0458912310829691,-418.141722898915
"scheme2_vegetable_yield_t_ha",0.150755127262153,-1373.617729611
"scheme2_vegetable_profit_USD_t",0.386214782222782,-3519.02772352506
"scheme2_rice_yield_t_ha",0.102803578655125,-936.703254295155
"scheme2_rice_profit_USD_t",0.750149044748663,-6835.04466103957
"buffer_vegetable_area_ha",0.860035316021319,7836.28245110482
"buffer_fruit_area_ha",1.6129202089851,14696.2550179613
"buffer_rainfed_crop_area_ha",0.263629843198693,2402.08497879199
"buffer_vegetable_yield_t_ha",1.93538435260313,17634.4135594437
"buffer_fruit_yield_t_ha",2.02294548300535,18432.2339940092
"buffer_rainfed_crop_yield_t_ha",0.755134339776107,6880.46858632424
"buffer_vegetable_profit_USD_t",1.88311581804295,17158.1645118886
"buffer_fruit_profit_USD_t",1.3884571989288,12651.0418576883
"buffer_rainfed_crop_profit_USD_t",1.03165381942575,9399.99854678158
"proportion_irrigation_scheme_rice",0.4137925899229,-3770.30518445554
"irrigation_scheme_rice_yield_t_ha",0.0760393896058908,692.839146557318
"irrigation_scheme_rice_profit_USD_t",0.462665911458244,4215.6184695499
"irrigation_scheme_vegetable_yield_t_ha",2.86373833474529,26093.1871506593
"irrigation_scheme_vegetable_profit_USD_t",5.06853886671954,46182.4083663937
"baseline_time_until_irrig_area_declines",0.769682125841619,-7013.021934453
"dredging_delay_of_irrig_area_decline",0.155765696976037,-1419.27194727801
"check_dam_delay_of_irrig_area_decline",0.269914279267924,2459.34613442945
"buffer_strip_delay_of_irrig_area_decline",0.962136076597225,8766.58192072055
"baseline_start_losses_to_half_irrig_area_lost",1.92056891573154,-17499.4214890024
"dredging_delay_of_irrig_area_halved",0.0976427667610113,889.680092657575
"check_dam_delay_of_irrig_area_halved",0.0357913768886923,326.116071501866
"buffer_strip_delay_of_irrig_area_halved",0.228188415689301,2079.15749981499
"current_risk_of_pipe_blockage",0.0835356537902973,-761.141973642218
"baseline_time_until_pipes_blocked_every_second_year",0.207705654292165,-1892.5271362747
"dredging_delay_of_pipes_blocked_every_second_year",0.243811299252727,2221.50668713685
"check_dam_delay_of_pipes_blocked_every_second_year",0.0257854787070526,234.946508034333
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.107733162528853,981.619562824965
"current_chance_of_blocked_pipe_cleared",0.106742715842787,-972.595026459783
"baseline_time_until_chance_cleared_50percent",0.0192549851295576,175.443379191764
"dredging_delay_of_time_until_chance_cleared_50percent",0.21673264264465,-1974.77728239679
"check_dam_delay_of_time_until_chance_cleared_50percent",0.0466672404287138,-425.212395817422
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.193101509616379,1759.46027203745
"baseline_time_until_irrig_area2_declines",0.185298653524891,-1688.36390759848
"dredging_delay_of_irrig_area2_decline",0.124364680830019,-1133.15900843934
"check_dam_delay_of_irrig_area2_decline",0.00106541859511731,-9.70764907494985
"baseline_start_losses_to_half_irrig_area2_lost",0.036162654061283,-329.498993967803
"dredging_delay_of_irrig_area2_halved",0.125458669057232,1143.12697206469
"check_dam_delay_of_irrig_area2_halved",0.209816957717094,-1911.76445091693
"time_to_start_fish_decline_baseline",0.0524058073317534,-477.499819693008
"dredging_delay_start_fish_decline",0.347902508704745,-3169.94229524262
"check_dams_delay_start_fish_decline",0.134571776075899,1226.16179549007
"buffer_strips_delay_start_fish_decline",0.0203887243241474,-185.773537022717
"time_to_halve_fish_population_baseline",0.270304832459309,2462.90469192454
"dredging_delay_in_time_to_halve_fish_population",0.21546830609202,-1963.25717600686
"check_dams_delay_in_time_to_halve_fish_population",0.230497659443548,2100.19836403257
"buffer_strips_delay_in_time_to_halve_fish_population",0.174925163471054,-1593.84500058237
