"","VIP","Coefficient"
"NaturHazard",0.560462190519083,-1985.47844276638
"discount_rate",3.9948324131969,-14151.9870082954
"BadMaintenance",0.431724015582598,-1529.41400983694
"BadDesign",0.573295325610789,-2030.94076566472
"NonCompliance",0.179462153771233,635.757850632523
"dredge_NonPopInvolv",0.186939688356746,-662.247565685069
"dredge_NonDonorsInvolv",0.154154890774851,-546.105014143771
"check_NonPopInvolv",0.790872806369431,-2801.72495947019
"check_NonInstInvolv",0.580030937090707,-2054.80216366525
"check_NonDonorsInvolv",0.410236174997297,-1453.29175755048
"buffer_NonPopInvolv",0.0294949951165165,-104.488184865968
"buffer_NonInstInvolv",0.107210300791279,-379.800358818915
"buffer_NonDonorsInvolv",0.0397352621251184,140.765082286863
"current_irrig_area",0.492170627331416,1743.55056819138
"TLU_no_buffer",0.176987191404904,626.990114809964
"change_TLU_buffer_perc",0.185252699521991,656.271283928237
"profit_per_TLU",0.186853780077146,-661.943229299695
"var_CV",0.0484958670509823,-171.800168185852
"pipe_blocked_area_lost_perc",2.25432123740401,-7986.09843028063
"dredging_study_cost",0.151549223733635,-536.874247417882
"dredging_supervision_cost",0.0735598650454181,-260.591220551761
"dredging_admin_cost",0.100056039570587,-354.45586338659
"dredging_transport_cost",0.0625422901272559,221.560652813883
"dredging_communication_cost",0.0207265315785892,73.4252592569921
"dredging_culvert_feasibility_cost",0.0751277953295259,266.145728655106
"dredging_culvert_supervision_cost",0.00109136263483715,3.86623223005101
"check_location_cost",0.136190146872789,-482.463590421095
"check_feasibility_cost",0.268854666198517,-952.437386507576
"check_topobatymetry_cost",0.106910756486319,-378.739201134754
"check_supervision_cost",0.027953666947699,99.0279167083934
"check_training_cost",0.405148163656703,-1435.26710396244
"check_communication_cost",0.334046338909016,-1183.3836715633
"check_tech_devices_cost",0.262800198543242,930.988990495631
"check_material_cost",0.269899231022879,-956.137834059481
"check_rocks_cost",0.0863097389441573,-305.758584563401
"check_transport_cost",0.146152754897293,-517.75686051317
"buffer_communication_cost",0.293197176991533,-1038.67251751182
"buffer_zoning_cost",0.0841473510487725,298.098166744299
"buffer_adaptation_cost",0.312717010766158,1107.82296123757
"buffer_tech_devices_cost",0.210555247856895,745.907418382689
"buffer_nursery_cost",0.0566682780359601,200.751533881141
