"","VIP","Coefficient"
"NaturHazard",0.328875302194691,-2596.88599544931
"discount_rate",4.46567439626168,-35262.1410683593
"BadMaintenance",0.143513597339657,-1133.2211589038
"BadDesign",0.182223207381179,-1438.88243396855
"NonCompliance",0.281852257627078,2225.57965202334
"dredge_NonPopInvolv",0.0851965521403948,672.734412214946
"dredge_NonDonorsInvolv",0.179478796437053,1417.21184241303
"check_NonPopInvolv",0.0707985597408013,-559.044072516054
"check_NonInstInvolv",0.127836566302385,-1009.43119328694
"check_NonDonorsInvolv",0.176458496899112,1393.36276186548
"buffer_NonPopInvolv",0.795930785060936,-6284.87908723565
"buffer_NonInstInvolv",0.406566707881772,-3210.35779478836
"buffer_NonDonorsInvolv",0.289446258620912,-2285.54388375102
"current_irrig_area",0.377342011094996,2979.59189263526
"TLU_no_buffer",0.291847312501188,2304.50323750728
"change_TLU_buffer_perc",1.257427548749,9928.97906850221
"profit_per_TLU",0.13760267617891,-1086.54696877729
"var_CV",0.0706028629143584,557.498798837696
"pipe_blocked_area_lost_perc",1.23101209756693,-9720.39570945879
"dredging_study_cost",0.0497217774232059,-392.616248765108
"dredging_supervision_cost",0.155618792890426,-1228.80697087626
"dredging_admin_cost",0.0838514070934993,662.112792680673
"dredging_transport_cost",0.153959628418309,-1215.70577126342
"dredging_communication_cost",0.148991759079114,-1176.4781666726
"dredging_culvert_feasibility_cost",0.153250331363985,1210.10497492907
"dredging_culvert_supervision_cost",0.180696183641017,-1426.82465237448
"check_location_cost",0.0176235043127858,-139.159831204111
"check_feasibility_cost",0.00936461992920808,73.9455051339472
"check_topobatymetry_cost",0.00602093066276549,-47.5428541254547
"check_supervision_cost",0.0946828119755676,-747.640418080263
"check_training_cost",0.0476883097694373,376.559452657188
"check_communication_cost",0.0601559592355828,-475.007296197708
"check_tech_devices_cost",0.0522121356708427,412.280773324363
"check_material_cost",0.134146990488578,1059.25996451151
"check_rocks_cost",0.172477054756779,1361.92424619672
"check_transport_cost",0.180323215723062,1423.8795994732
"buffer_communication_cost",0.533118720106489,-4209.64581079068
"buffer_zoning_cost",0.798605033154515,-6305.99565444586
"buffer_adaptation_cost",2.69969793559911,-21317.5258650174
"buffer_tech_devices_cost",0.0158120149857042,124.855834421709
"buffer_nursery_cost",0.45808216748866,-3617.13743044207
"buffer_wells_cost",1.59918051177301,-12627.5504651922
"buffer_training_cost",0.92180379568442,-7278.80552777954
"current_annual_fish_value_USD",0.0687180509813222,542.615827449167
"Hazard_reduction_irrigated_area",0.173185314463173,-1367.51685135862
"BadMaint_reduction_irrigated_area",0.372171821400683,-2938.76671323936
"BadDesign_reduction_irrigated_area",0.194180853133998,-1533.30315387915
"Hazard_reduction_fish_perc",0.0329390865291172,-260.095701743268
"maintenance_check_dams",0.0539987113020581,-426.388045003182
"maintenance_buffer_strips",3.25573157678068,-25708.113927262
"scheme2_area_no_dredging_ha",1.17321667147873,-9264.02780463931
"dredging_bump_scheme2_area_perc",0.0267680519656818,211.367587688257
"scheme2_time_until_dredging_benefits_gone_baseline",0.000760748927214845,6.00707387253967
"check_dams_added_scheme2_area_benefit_time",0.0450455728972761,355.691706349774
"scheme2_vegetable_yield_t_ha",0.177578965792726,-1402.21027932497
"scheme2_vegetable_profit_USD_t",0.523530962512285,-4133.93835189062
"scheme2_rice_yield_t_ha",0.153260120959497,-1210.18227615333
"scheme2_rice_profit_USD_t",0.942503719014197,-7442.25757371685
"buffer_vegetable_area_ha",1.01045408961642,7978.81159472404
"buffer_fruit_area_ha",1.78833830325463,14121.1902014407
"buffer_rainfed_crop_area_ha",0.277822081435536,2193.75631946791
"buffer_vegetable_yield_t_ha",2.35223616433669,18573.8762150621
"buffer_fruit_yield_t_ha",2.31786517863776,18302.4738603834
"buffer_rainfed_crop_yield_t_ha",0.851787968200344,6725.94211529515
"buffer_vegetable_profit_USD_t",2.24225226201135,17705.4143580375
"buffer_fruit_profit_USD_t",1.52426774459824,12036.0195273009
"buffer_rainfed_crop_profit_USD_t",1.14299446340903,9025.38529070162
"proportion_irrigation_scheme_rice",0.266204292277921,-2102.01919673427
"irrigation_scheme_rice_yield_t_ha",0.0750189959847077,592.369748549942
"irrigation_scheme_rice_profit_USD_t",0.357624412487059,2823.89654139685
"irrigation_scheme_vegetable_yield_t_ha",2.26332199941564,17871.7865532977
"irrigation_scheme_vegetable_profit_USD_t",4.11422033553738,32486.9672494435
"baseline_time_until_irrig_area_declines",0.643079716724575,-5077.92679831862
"dredging_delay_of_irrig_area_decline",0.236270959629063,-1865.65771919491
"check_dam_delay_of_irrig_area_decline",0.273029541804883,-2155.91316442882
"buffer_strip_delay_of_irrig_area_decline",1.59518011679232,12595.9622929205
"baseline_start_losses_to_half_irrig_area_lost",1.65241273316169,-13047.8861039842
"dredging_delay_of_irrig_area_halved",0.152942177626213,1207.67171186333
"check_dam_delay_of_irrig_area_halved",0.0733861637114326,-579.476474913737
"buffer_strip_delay_of_irrig_area_halved",0.49250441706845,3888.94457822449
"current_risk_of_pipe_blockage",0.0926572386988873,-731.645958052816
"baseline_time_until_pipes_blocked_every_second_year",0.186321555225602,-1471.24406784813
"dredging_delay_of_pipes_blocked_every_second_year",0.0791239871031211,624.78383947046
"check_dam_delay_of_pipes_blocked_every_second_year",0.138402713425337,-1092.86427356491
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.192560901991309,1520.5115930423
"current_chance_of_blocked_pipe_cleared",0.266035584530211,-2100.68703592917
"baseline_time_until_chance_cleared_50percent",0.0430895001464762,340.246040777644
"dredging_delay_of_time_until_chance_cleared_50percent",0.286838853790537,-2264.95512855025
"check_dam_delay_of_time_until_chance_cleared_50percent",0.168304243490766,-1328.97462953032
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.314078653401895,2480.04775988352
"baseline_time_until_irrig_area2_declines",0.190387170112545,-1503.34723367523
"dredging_delay_of_irrig_area2_decline",0.120574289992087,-952.086347020157
"check_dam_delay_of_irrig_area2_decline",0.0110501771564278,-87.2551088916174
"baseline_start_losses_to_half_irrig_area2_lost",0.105258727249954,-831.150630254403
"dredging_delay_of_irrig_area2_halved",0.228634533483205,1805.35848729417
"check_dam_delay_of_irrig_area2_halved",0.201207713758049,-1588.7890958906
"time_to_start_fish_decline_baseline",0.0284906389711985,-224.969588327153
"dredging_delay_start_fish_decline",0.427363942659714,-3374.57823754735
"check_dams_delay_start_fish_decline",0.129496541051958,1022.53879106396
"buffer_strips_delay_start_fish_decline",0.0108077526542707,-85.340861180085
"time_to_halve_fish_population_baseline",0.230875347921239,1823.05254821543
"dredging_delay_in_time_to_halve_fish_population",0.355034668661889,-2803.44724214419
"check_dams_delay_in_time_to_halve_fish_population",0.250272502246,1976.21758700488
"buffer_strips_delay_in_time_to_halve_fish_population",0.327210355795768,-2583.73914021973
