"","VIP","Coefficient"
"NaturHazard",0.184696515960317,-40.5286487232375
"discount_rate",0.259145918246802,56.8653600966791
"BadMaintenance",0.205682920746585,-45.1337741806613
"BadDesign",0.435549813528732,-95.5743279844555
"NonCompliance",0.357849272403376,78.524207030622
"dredge_NonPopInvolv",0.457340274724134,-100.355890553267
"dredge_NonDonorsInvolv",0.0933242037947508,-20.4784798094726
"check_NonPopInvolv",0.46368707844043,-101.748593479988
"check_NonInstInvolv",0.189045386563814,-41.4829376989419
"check_NonDonorsInvolv",0.220175735829527,-48.3139869120891
"buffer_NonPopInvolv",0.012180295218555,2.67276783046739
"buffer_NonInstInvolv",0.0402941324649941,8.84189250560751
"buffer_NonDonorsInvolv",0.0756156570460875,16.5926270263599
"current_irrig_area",0.705894043477598,154.896975588191
"TLU_no_buffer",0.402942816253879,88.4192523643176
"change_TLU_buffer_perc",0.478707521986958,105.044585702685
"profit_per_TLU",0.0272893567613485,-5.98820583221737
"var_CV",0.265563849189779,-58.2736707373291
"pipe_blocked_area_lost_perc",0.196869563939743,-43.1998262648608
"dredging_study_cost",0.0058745645143605,-1.28907770872986
"dredging_supervision_cost",0.367108782589146,-80.5560560545037
"dredging_admin_cost",0.46243207849092,-101.473204137439
"dredging_transport_cost",0.0771346059101635,16.925935668489
"dredging_communication_cost",0.119975559062436,26.3266865827626
"dredging_culvert_feasibility_cost",0.0012157188854966,0.266769751450448
"dredging_culvert_supervision_cost",0.423455725577784,92.9204769378162
"check_location_cost",0.296793614507169,65.1265351872984
"check_feasibility_cost",0.165032103640464,36.213613027429
"check_topobatymetry_cost",0.00701755555108775,-1.53988851574736
"check_supervision_cost",0.175866282161865,38.5909974259145
"check_training_cost",0.206224067323589,-45.2525200022223
"check_communication_cost",0.701274466650152,-153.883284531183
"check_tech_devices_cost",0.267296631856832,-58.6539017322753
"check_material_cost",0.601588699242763,132.008862975617
"check_rocks_cost",0.533755168942824,-117.123897187881
"check_transport_cost",0.637793418310288,139.953400172661
"buffer_communication_cost",0.14938486538175,-32.7800808918663
"buffer_zoning_cost",0.268277124353839,58.869054875692
"buffer_adaptation_cost",0.529791422741689,116.254117503199
"buffer_tech_devices_cost",0.388307620378481,85.2077964819704
"buffer_nursery_cost",0.13427781929718,29.465085149668
"buffer_wells_cost",0.240821784361888,52.8444267210931
"buffer_training_cost",0.0605998952650502,13.2976621410113
"current_annual_fish_value_USD",0.339821010609695,74.5681979769178
"Hazard_reduction_irrigated_area",0.289349597474664,-63.4930666303439
"BadMaint_reduction_irrigated_area",0.766848925341557,-168.27253376906
"BadDesign_reduction_irrigated_area",0.473385920951035,-103.876846842487
"Hazard_reduction_fish_perc",0.0751338301070233,-16.4868979352767
"maintenance_check_dams",0.505268593610978,-110.872981197671
"maintenance_buffer_strips",0.123612520404285,27.1247586410112
"scheme2_area_no_dredging_ha",0.550678581284018,120.837464985349
"dredging_bump_scheme2_area_perc",0.15835331469106,-34.748061336756
"scheme2_time_until_dredging_benefits_gone_baseline",0.0839711719613344,18.4261089799371
"check_dams_added_scheme2_area_benefit_time",0.0718619232486663,-15.7689311505324
"scheme2_vegetable_yield_t_ha",0.187051109373243,41.0453259806418
"scheme2_vegetable_profit_USD_t",0.2088758037017,45.8344004541426
"scheme2_rice_yield_t_ha",0.445848435033183,97.8341930994919
"scheme2_rice_profit_USD_t",0.0106164667939463,-2.32961109816609
"buffer_vegetable_area_ha",0.0172777419878538,3.79131967983038
"buffer_fruit_area_ha",0.0773175726694512,-16.9660847502225
"buffer_rainfed_crop_area_ha",0.472862056970627,103.76189340587
"buffer_vegetable_yield_t_ha",0.759495331670652,-166.65890714924
"buffer_fruit_yield_t_ha",0.274921377842025,60.3270283206739
"buffer_rainfed_crop_yield_t_ha",0.391946445785994,86.006277579134
"buffer_vegetable_profit_USD_t",0.185937690314376,40.8010042635593
"buffer_fruit_profit_USD_t",0.482291888315997,-105.831116640151
"buffer_rainfed_crop_profit_USD_t",0.35173014496799,77.1814639635317
"proportion_irrigation_scheme_rice",0.971796281968543,-213.244900358128
"irrigation_scheme_rice_yield_t_ha",0.129497355118428,28.4160899781712
"irrigation_scheme_rice_profit_USD_t",0.607675438532559,133.344498990532
"irrigation_scheme_vegetable_yield_t_ha",4.58638444084691,1006.40752721477
"irrigation_scheme_vegetable_profit_USD_t",7.06966031815079,1551.32206006802
"baseline_time_until_irrig_area_declines",2.0292414365144,-445.284053830231
"dredging_delay_of_irrig_area_decline",0.677156767984812,148.591047522065
"check_dam_delay_of_irrig_area_decline",0.512405478574534,112.439054613632
"buffer_strip_delay_of_irrig_area_decline",0.235030127858629,-51.5735418279712
"baseline_start_losses_to_half_irrig_area_lost",3.33187074411686,-731.124884935876
"dredging_delay_of_irrig_area_halved",0.532286651999445,-116.801655011125
"check_dam_delay_of_irrig_area_halved",0.54776509278,-120.198147283417
"buffer_strip_delay_of_irrig_area_halved",0.741479521232511,-162.705630343148
"current_risk_of_pipe_blockage",1.58486608669689,-347.773105340605
"baseline_time_until_pipes_blocked_every_second_year",0.559421709119235,-122.756002294694
"dredging_delay_of_pipes_blocked_every_second_year",1.32155859746877,289.994556126299
"check_dam_delay_of_pipes_blocked_every_second_year",0.215298264834165,47.2437051712506
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.129053151850337,-28.3186167902198
"current_chance_of_blocked_pipe_cleared",0.348460138803539,76.4639142551748
"baseline_time_until_chance_cleared_50percent",0.297512402893766,-65.2842616169241
"dredging_delay_of_time_until_chance_cleared_50percent",0.152573708320237,-33.4798206493572
"check_dam_delay_of_time_until_chance_cleared_50percent",0.030520866999429,-6.69730823517146
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.21180324286689,46.476779401941
"baseline_time_until_irrig_area2_declines",0.496881026171876,-109.032465838654
"dredging_delay_of_irrig_area2_decline",0.0986688268715723,-21.65127048239
"check_dam_delay_of_irrig_area2_decline",0.135375082676615,-29.7058617654627
"baseline_start_losses_to_half_irrig_area2_lost",0.171003462154231,-37.5239306062239
"dredging_delay_of_irrig_area2_halved",0.279342616982647,61.2971973957107
"check_dam_delay_of_irrig_area2_halved",0.351472298076369,-77.1248836537159
"time_to_start_fish_decline_baseline",0.108977817801348,-23.913410999289
"dredging_delay_start_fish_decline",0.416941471196962,-91.491029684188
"check_dams_delay_start_fish_decline",0.013465293326752,-2.95473978140733
"buffer_strips_delay_start_fish_decline",0.579885470061542,-127.246442054614
"time_to_halve_fish_population_baseline",0.270069830145491,59.2624350264556
"dredging_delay_in_time_to_halve_fish_population",0.142618646719693,-31.2953441716671
"check_dams_delay_in_time_to_halve_fish_population",0.456756189813331,100.227722612191
"buffer_strips_delay_in_time_to_halve_fish_population",0.0718769297909954,-15.7722240923588
