"","VIP","Coefficient"
"NaturHazard",0.195870890589528,-27.7918839150194
"discount_rate",0.603918771383112,-85.6893045100491
"BadMaintenance",0.657809388965416,-93.3357791007771
"BadDesign",0.139387291394856,19.7774942974704
"NonCompliance",0.346324291658901,49.1395351385106
"dredge_NonPopInvolv",0.12651362064409,-17.9508647151541
"dredge_NonDonorsInvolv",0.214204374124092,-30.3931997339089
"check_NonPopInvolv",0.682928666131063,-96.8999229759375
"check_NonInstInvolv",0.474655421223073,-67.3482839974973
"check_NonDonorsInvolv",0.156851688494697,22.2554964926087
"buffer_NonPopInvolv",0.421801564742049,-59.8489141862885
"buffer_NonInstInvolv",0.134554489345405,-19.0917738561206
"buffer_NonDonorsInvolv",0.370519104663881,-52.5725079113212
"current_irrig_area",1.16492390558707,165.289644910808
"TLU_no_buffer",0.476373366672479,67.5920412008191
"change_TLU_buffer_perc",0.200191893421425,28.4049857840062
"profit_per_TLU",0.252167721617168,35.7797732230966
"var_CV",0.153205879034331,21.7381969949968
"pipe_blocked_area_lost_perc",0.14807817907164,21.010633845183
"dredging_study_cost",0.728305436862643,-103.338378127772
"dredging_supervision_cost",0.402500131969582,57.1102572200009
"dredging_admin_cost",0.869012833907771,-123.303180620337
"dredging_transport_cost",0.38367395477469,-54.4390336931703
"dredging_communication_cost",0.548716344967646,-77.8566989495777
"dredging_culvert_feasibility_cost",0.507522607635214,72.0117693506822
"dredging_culvert_supervision_cost",0.0402134568716776,-5.70583878919196
"check_location_cost",0.673145686475276,-95.5118278173444
"check_feasibility_cost",0.184904933860883,-26.2359375694325
"check_topobatymetry_cost",0.182922019709113,-25.9545842772022
"check_supervision_cost",0.671531481871126,95.2827902771637
"check_training_cost",0.384455177663269,-54.5498804645604
"check_communication_cost",0.391694397183522,-55.5770445721858
"check_tech_devices_cost",0.473577795299442,-67.1953809577286
"check_material_cost",0.774553285033426,-109.900429404576
"check_rocks_cost",0.837248427523601,118.796167392382
"check_transport_cost",1.19134802042485,169.038930626099
"buffer_communication_cost",0.605092317059129,-85.855817487545
"buffer_zoning_cost",0.157787184047273,22.3882328258228
"buffer_adaptation_cost",0.933774432120871,132.492125512926
"buffer_tech_devices_cost",0.00266665325053393,0.378368206512921
"buffer_nursery_cost",0.101421931254084,-14.3906352361338
"buffer_wells_cost",1.41694257632215,201.048269484404
"buffer_training_cost",0.0800244488621899,-11.3545723228579
"current_annual_fish_value_USD",0.579678978729153,-82.2499496292122
"Hazard_reduction_irrigated_area",0.0688629162467421,-9.77087595108672
"BadMaint_reduction_irrigated_area",1.109249447361,-157.390063327279
"BadDesign_reduction_irrigated_area",0.661707997547489,-93.8889479602078
"Hazard_reduction_fish_perc",0.0408198283779604,5.79187610929228
"maintenance_check_dams",0.0526608067894319,7.47197822380965
"maintenance_buffer_strips",0.471169223356532,66.8536315960095
"scheme2_area_no_dredging_ha",0.424808428884103,-60.2755545049835
"dredging_bump_scheme2_area_perc",0.492299229558823,69.8517426360433
"scheme2_time_until_dredging_benefits_gone_baseline",0.265236885684813,-37.6341411158504
"check_dams_added_scheme2_area_benefit_time",0.0594781126904695,-8.43927751797513
"scheme2_vegetable_yield_t_ha",0.674057217246684,-95.6411638167249
"scheme2_vegetable_profit_USD_t",0.0597160608833905,-8.47303969945878
"scheme2_rice_yield_t_ha",0.173151324748111,24.5682321791036
"scheme2_rice_profit_USD_t",0.634925303071207,-90.0887838134274
"buffer_vegetable_area_ha",0.570181754781647,80.902400002672
"buffer_fruit_area_ha",1.08841094210756,154.433313004538
"buffer_rainfed_crop_area_ha",0.00556508390241914,-0.789623028352355
"buffer_vegetable_yield_t_ha",0.0580555936609423,-8.23743801228576
"buffer_fruit_yield_t_ha",0.376548790486948,53.4280527446263
"buffer_rainfed_crop_yield_t_ha",0.388943667468671,55.186746857775
"buffer_vegetable_profit_USD_t",0.435645844333917,-61.813262283886
"buffer_fruit_profit_USD_t",0.712663702982636,101.118991413828
"buffer_rainfed_crop_profit_USD_t",0.0275179636882393,-3.90449060653913
"proportion_irrigation_scheme_rice",1.07323564248741,-152.280108083942
"irrigation_scheme_rice_yield_t_ha",0.598459864544767,-84.9147468169812
"irrigation_scheme_rice_profit_USD_t",0.959046458874896,136.077942842552
"irrigation_scheme_vegetable_yield_t_ha",3.92351786456556,556.70320741545
"irrigation_scheme_vegetable_profit_USD_t",5.90018262125805,837.169780531877
"baseline_time_until_irrig_area_declines",4.96667373748515,-704.715333353075
"dredging_delay_of_irrig_area_decline",0.306516272971161,43.4912234831812
"check_dam_delay_of_irrig_area_decline",0.973525590940376,-138.132369390279
"buffer_strip_delay_of_irrig_area_decline",0.0851593247083573,12.0831536501047
"baseline_start_losses_to_half_irrig_area_lost",0.265744287461496,-37.7061357406434
"dredging_delay_of_irrig_area_halved",0.459997424022962,65.2684784920134
"check_dam_delay_of_irrig_area_halved",0.0530282683011705,-7.52411689355654
"buffer_strip_delay_of_irrig_area_halved",0.223065547102132,31.6505008571916
"current_risk_of_pipe_blockage",0.650696428620708,-92.3265297549592
"baseline_time_until_pipes_blocked_every_second_year",0.0474668412916822,-6.73501273732203
"dredging_delay_of_pipes_blocked_every_second_year",0.103281232701246,14.6544492711189
"check_dam_delay_of_pipes_blocked_every_second_year",0.551221160570353,-78.212104207855
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.0728350645508281,10.3344792727857
"current_chance_of_blocked_pipe_cleared",0.127848408261607,18.1402561168349
"baseline_time_until_chance_cleared_50percent",0.165239989397124,-23.4457023686471
"dredging_delay_of_time_until_chance_cleared_50percent",0.0834885392275773,-11.8460879177287
"check_dam_delay_of_time_until_chance_cleared_50percent",0.344487621644243,48.8789322501288
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.426044799147635,60.4509815872653
"baseline_time_until_irrig_area2_declines",0.559306975142272,-79.359390664075
"dredging_delay_of_irrig_area2_decline",0.0962550867557788,13.657517915476
"check_dam_delay_of_irrig_area2_decline",0.235041624620962,33.3497720207567
"baseline_start_losses_to_half_irrig_area2_lost",0.825713980280848,117.159558614887
"dredging_delay_of_irrig_area2_halved",0.318267647037374,45.1586117454553
"check_dam_delay_of_irrig_area2_halved",0.528283739852172,-74.957541306798
"time_to_start_fish_decline_baseline",0.334547841889356,-47.4685889149999
"dredging_delay_start_fish_decline",0.255024600682738,36.1851323405774
"check_dams_delay_start_fish_decline",0.101029703391228,14.3349824987622
"buffer_strips_delay_start_fish_decline",0.698355581689936,99.0888293779485
"time_to_halve_fish_population_baseline",0.981416174921931,139.251954814009
"dredging_delay_in_time_to_halve_fish_population",0.0506772030794806,-7.1905270910025
"check_dams_delay_in_time_to_halve_fish_population",1.10540887650818,156.845129371102
"buffer_strips_delay_in_time_to_halve_fish_population",0.553725046010215,78.5673774864503
