"","VIP","Coefficient"
"NaturHazard",0.216927792347722,-641.643661049182
"discount_rate",0.109908572715951,-325.094992277938
"BadMaintenance",0.0974089165392296,-288.122665844858
"BadDesign",0.0485325291776737,-143.552789453655
"NonCompliance",0.290037212085173,-857.891635685486
"dredge_NonPopInvolv",0.0573383879718051,-169.599352755658
"dredge_NonDonorsInvolv",0.0825590063598716,-244.198599543287
"check_NonPopInvolv",0.437650847371682,1294.5132061212
"check_NonInstInvolv",0.490322747517286,1450.30970632099
"check_NonDonorsInvolv",0.0694349956452981,205.379515130861
"buffer_NonPopInvolv",2.36379294992,6991.78628028316
"buffer_NonInstInvolv",0.79554376940465,2353.11303914179
"buffer_NonDonorsInvolv",0.866918144178012,2564.22898071403
"current_irrig_area",0.205079062000135,-606.596686953657
"TLU_no_buffer",0.31980747693724,-945.948133764187
"change_TLU_buffer_perc",0.0307255951700233,90.8822385524814
"profit_per_TLU",0.404377909734334,-1196.09626614115
"var_CV",0.631764189660669,-1868.67474741947
"pipe_blocked_area_lost_perc",0.08484643527854,-250.964511139398
"dredging_study_cost",0.0526732951608514,155.800626470017
"dredging_supervision_cost",0.0449734218548171,133.025421669245
"dredging_admin_cost",0.684724796412308,-2025.32520349859
"dredging_transport_cost",0.195482503953491,578.211340051451
"dredging_communication_cost",0.00514080914692932,-15.2058321623605
"dredging_culvert_feasibility_cost",0.135171939761339,-399.820683928588
"dredging_culvert_supervision_cost",0.183334293907598,542.27854469738
"check_location_cost",0.0820087676002879,-242.571066213743
"check_feasibility_cost",0.439679660180757,-1300.51416553866
"check_topobatymetry_cost",0.0226211199165937,-66.910274811858
"check_supervision_cost",0.0280769336919876,-83.047848918706
"check_training_cost",0.308494328659662,912.485340452845
"check_communication_cost",0.0253490239834651,-74.9790535216539
"check_tech_devices_cost",0.122421469986215,-362.106484110921
"check_material_cost",0.0028554824046545,8.44613852542752
"check_rocks_cost",0.0358321843799997,-105.986852676389
"check_transport_cost",0.0333614227566135,-98.6786672361939
"buffer_communication_cost",1.35053996140381,-3994.7182232847
"buffer_zoning_cost",2.36474446875936,-6994.60074690838
"buffer_adaptation_cost",7.50966271366492,-22212.5870765176
"buffer_tech_devices_cost",0.185087285316164,-547.463660965825
"buffer_nursery_cost",1.0998509564848,-3253.21336971032
"buffer_wells_cost",4.38551140622746,-12971.7615424499
"buffer_training_cost",2.47908272709835,-7332.79816220783
"current_annual_fish_value_USD",0.160696620835606,475.319307845586
"Hazard_reduction_irrigated_area",0.049655400083862,146.874092783832
"BadMaint_reduction_irrigated_area",0.350932832348411,1038.0128101311
"BadDesign_reduction_irrigated_area",0.331828648912043,981.505167339904
"Hazard_reduction_fish_perc",0.103310091602116,305.577559617866
"maintenance_check_dams",0.0285175151103539,84.3510303654506
"maintenance_buffer_strips",0.217029271719076,-641.943823580926
"scheme2_area_no_dredging_ha",0.251020704000238,-742.485975497676
"dredging_bump_scheme2_area_perc",0.0458599571793414,135.647675669624
"scheme2_time_until_dredging_benefits_gone_baseline",0.245649077248317,-726.597415449237
"check_dams_added_scheme2_area_benefit_time",0.0410889402370719,-121.535639841322
"scheme2_vegetable_yield_t_ha",0.196207939661989,-580.357082737618
"scheme2_vegetable_profit_USD_t",0.0756706091966135,223.823633630626
"scheme2_rice_yield_t_ha",0.0754240467001894,223.094334442307
"scheme2_rice_profit_USD_t",0.0327726297018231,-96.9370954108997
"buffer_vegetable_area_ha",0.192571648150601,569.601414352496
"buffer_fruit_area_ha",0.281561165214501,-832.820612344205
"buffer_rainfed_crop_area_ha",0.0782229544939041,231.373132766219
"buffer_vegetable_yield_t_ha",0.0220546786972043,-65.2348167534659
"buffer_fruit_yield_t_ha",0.405664661041451,1199.90230597876
"buffer_rainfed_crop_yield_t_ha",0.143855134855507,425.50442426231
"buffer_vegetable_profit_USD_t",0.295342348324325,873.58352560892
"buffer_fruit_profit_USD_t",0.749808105577638,2217.83300673617
"buffer_rainfed_crop_profit_USD_t",0.271950172850228,804.392570643383
"proportion_irrigation_scheme_rice",0.0940619372226047,278.222744590266
"irrigation_scheme_rice_yield_t_ha",0.410928045209084,-1215.4706988079
"irrigation_scheme_rice_profit_USD_t",0.0100270483117786,-29.6586800550372
"irrigation_scheme_vegetable_yield_t_ha",0.302386418281088,894.418951013975
"irrigation_scheme_vegetable_profit_USD_t",0.0938904662730712,277.715556246017
"baseline_time_until_irrig_area_declines",0.177356256942881,524.596303605009
"dredging_delay_of_irrig_area_decline",0.414237213393474,1225.25877974432
"check_dam_delay_of_irrig_area_decline",0.448104889160907,1325.4348762945
"buffer_strip_delay_of_irrig_area_decline",0.203539137161518,602.04179336212
"baseline_start_losses_to_half_irrig_area_lost",0.00455959875639057,-13.4866888530176
"dredging_delay_of_irrig_area_halved",0.137590536097703,406.974571363064
"check_dam_delay_of_irrig_area_halved",0.0699296988322131,-206.842781596395
"buffer_strip_delay_of_irrig_area_halved",0.134977047438972,399.244218267455
"current_risk_of_pipe_blockage",0.00351338095510709,10.39211524857
"baseline_time_until_pipes_blocked_every_second_year",0.0698885504404474,-206.721070106811
"dredging_delay_of_pipes_blocked_every_second_year",0.428599086342007,1267.73929659506
"check_dam_delay_of_pipes_blocked_every_second_year",0.36838716713028,1089.6404192512
"buffer_strip_delay_of_pipes_blocked_every_second_year",0.163793422704433,-484.479237364774
"current_chance_of_blocked_pipe_cleared",0.29909812515839,884.692615743532
"baseline_time_until_chance_cleared_50percent",0.151436298744199,447.928502338745
"dredging_delay_of_time_until_chance_cleared_50percent",0.329947734750636,-975.941672521732
"check_dam_delay_of_time_until_chance_cleared_50percent",0.57610208987188,1704.0336329563
"buffer_strip_delay_of_time_until_chance_cleared_50percent",0.316814914571359,-937.0965308802
"baseline_time_until_irrig_area2_declines",0.120531196214797,-356.515304806733
"dredging_delay_of_irrig_area2_decline",0.1353680597744,400.400780936094
"check_dam_delay_of_irrig_area2_decline",0.390647709584351,1155.48415371504
"baseline_start_losses_to_half_irrig_area2_lost",0.0127540039226794,37.7246533577677
"dredging_delay_of_irrig_area2_halved",0.197987046115773,-585.619443848879
"check_dam_delay_of_irrig_area2_halved",0.413501081695411,1223.08139973853
"time_to_start_fish_decline_baseline",0.0304377305205141,-90.0307730689732
"dredging_delay_start_fish_decline",0.586217258778041,1733.95296205119
"check_dams_delay_start_fish_decline",0.252010463618682,-745.413553279501
"buffer_strips_delay_start_fish_decline",0.223131415627831,659.993156566282
"time_to_halve_fish_population_baseline",0.334376620482196,-989.041729570261
"dredging_delay_in_time_to_halve_fish_population",0.294543773619249,871.221447463743
"check_dams_delay_in_time_to_halve_fish_population",0.161488691285191,477.66214726501
"buffer_strips_delay_in_time_to_halve_fish_population",0.144425091138294,427.190279412394
