"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.NPV_dredge_check_buff","-269697"," -66405","-3.5e+04","  14433","  79055","169605","266886","339775","1077530"," 100520","0.2001","0","0.7999"
"y.NPV_dredge_check_nbuff","-103058"," -15543","-1.7e+03","  25504","  64384","113592","171228","209063"," 521746","  76245","0.1081","0","0.8919"
"y.NPV_dredge_ncheck_buff","-215409"," -46005","-2.4e+04","  14152","  74202","172938","276588","339636","1049658"," 103477","0.1855","0","0.8145"
"y.NPV_dredge_ncheck_nbuff","-104769"," -14938","-4.8e+03","  16498","  42600"," 71654","102576","123384"," 325888","  46446","0.1323","0","0.8677"
"y.NPV_ndredge_check_buff","-244910"," -66887","-4.4e+04","   1464","  67861","156757","259963","328810","1065492","  90031","0.2442","0","0.7558"
"y.NPV_ndredge_check_nbuff","-125558"," -31905","-2.3e+04","    472","  40267"," 83040","127185","154890"," 428167","  47038","0.2473","0","0.7527"
"y.NPV_ndredge_ncheck_buff","-213055"," -57158","-4.2e+04"," -18811","  49825","164088","266720","329795","1041736","  84122","0.3619","0","0.6381"
"y.cashflow_NPV_dredge_check_buff1","-406798","-300538","-2.8e+05","-251008","-207931","-89807","-63745","-54888","   5769","-183638","0.9998","0","0.0002"
"y.cashflow_NPV_dredge_check_buff2"," -32294","  -6943","-2.9e+03","   1633","   6598"," 12321"," 18241"," 22203","  58249","   7121","0.1718","0","0.8282"
"y.cashflow_NPV_dredge_check_buff3"," -36365","  -5213","-1.6e+03","   2739","   7805"," 13458"," 19239"," 23388","  60398","   8325","0.1340","0","0.8660"
"y.cashflow_NPV_dredge_check_buff4"," -36535","  -4409","-6.8e+02","   3519","   8771"," 14542"," 20630"," 24884","  63931","   9323","0.1139","0","0.8861"
"y.cashflow_NPV_dredge_check_buff5"," -31926","  -3397"," 3.2e+01","   4170","   9745"," 15623"," 21731"," 26079","  69029","  10274","0.0995","0","0.9005"
