"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"NPV_dredge_check_buff"," -66405","  79055","339775"," 100520","9.4e+03","1.1e+05","9.4e+03","PA"
"NPV_dredge_check_nbuff"," -15543","  64384","209063","  76245","1.9e+03","7.8e+04","1.9e+03","PA"
"NPV_dredge_ncheck_buff"," -46005","  74202","339636"," 103477","6.6e+03","1.1e+05","6.6e+03","PA"
"NPV_dredge_ncheck_nbuff"," -14938","  42600","123384","  46446","2.0e+03","4.8e+04","2.0e+03","PA"
"NPV_ndredge_check_buff"," -66887","  67861","328810","  90031","1.1e+04","1.0e+05","1.1e+04","PA"
"NPV_ndredge_check_nbuff"," -31905","  40267","154890","  47038","5.4e+03","5.2e+04","5.4e+03","PA"
"NPV_ndredge_ncheck_buff"," -57158","  49825","329795","  84122","1.2e+04","9.6e+04","1.2e+04","PA"
"cashflow_NPV_dredge_check_buff1","-300538","-207931","-54888","-183638","1.8e+05","8.2e-01","8.2e-01","SQ"
"cashflow_NPV_dredge_check_buff2","  -6943","   6598"," 22203","   7121","9.0e+02","8.0e+03","9.0e+02","PA"
"cashflow_NPV_dredge_check_buff3","  -5213","   7805"," 23388","   8325","6.8e+02","9.0e+03","6.8e+02","PA"
"cashflow_NPV_dredge_check_buff4","  -4409","   8771"," 24884","   9323","5.5e+02","9.9e+03","5.5e+02","PA"
"cashflow_NPV_dredge_check_buff5","  -3397","   9745"," 26079","  10274","4.4e+02","1.1e+04","4.4e+02","PA"
"cashflow_NPV_dredge_check_buff6","  -1914","  10365"," 27092","  11093","3.2e+02","1.1e+04","3.2e+02","PA"
"cashflow_NPV_dredge_check_buff7","   -649","  11309"," 28501","  12111","2.4e+02","1.2e+04","2.4e+02","PA"
"cashflow_NPV_dredge_check_buff8","    352","  12034"," 29200","  12888","1.4e+02","1.3e+04","1.4e+02","PA"
"cashflow_NPV_dredge_check_buff9","    825","  12934"," 30365","  13750","1.1e+02","1.4e+04","1.1e+02","PA"
"cashflow_NPV_dredge_check_buff10","   1258","  13313"," 31462","  14241","7.6e+01","1.4e+04","7.6e+01","PA"
"cashflow_NPV_dredge_check_buff11","   1733","  13847"," 32585","  14937","5.2e+01","1.5e+04","5.2e+01","PA"
"cashflow_NPV_dredge_check_buff12","   2045","  14406"," 33660","  15392","4.3e+01","1.5e+04","4.3e+01","PA"
"cashflow_NPV_dredge_check_buff13","   2329","  14808"," 33806","  15877","2.4e+01","1.6e+04","2.4e+01","PA"
"cashflow_NPV_dredge_check_buff14","   2701","  15179"," 34601","  16368","1.6e+01","1.6e+04","1.6e+01","PA"
"cashflow_NPV_dredge_check_buff15","   2753","  15514"," 35328","  16667","1.1e+01","1.7e+04","1.1e+01","PA"
"cashflow_NPV_dredge_check_buff16","   2928","  15997"," 36228","  17072","8.7e+00","1.7e+04","8.7e+00","PA"
"cashflow_NPV_dredge_check_buff17","   3031","  16261"," 36403","  17313","8.8e+00","1.7e+04","8.8e+00","PA"
"cashflow_NPV_dredge_check_buff18","   3114","  16238"," 36112","  17387","3.7e+00","1.7e+04","3.7e+00","PA"
"cashflow_NPV_dredge_check_buff19","   3065","  16569"," 36443","  17554","4.1e+00","1.8e+04","4.1e+00","PA"
"cashflow_NPV_dredge_check_buff20","   3116","  16645"," 36773","  17679","3.5e+00","1.8e+04","3.5e+00","PA"
"cashflow_NPV_dredge_check_buff21","   3105","  16736"," 36289","  17561","3.5e+00","1.8e+04","3.5e+00","PA"
"cashflow_NPV_dredge_check_buff22","   2950","  16842"," 36063","  17578","2.3e+00","1.8e+04","2.3e+00","PA"
"cashflow_NPV_dredge_check_buff23","   2872","  16743"," 36075","  17520","3.4e+00","1.8e+04","3.4e+00","PA"
"cashflow_NPV_dredge_check_buff24","   2826","  16792"," 35721","  17486","2.3e+00","1.7e+04","2.3e+00","PA"
"cashflow_NPV_dredge_check_buff25","   2710","  16660"," 35967","  17360","2.8e+00","1.7e+04","2.8e+00","PA"
"cashflow_NPV_dredge_check_buff26","   2565","  16869"," 35995","  17381","1.8e+00","1.7e+04","1.8e+00","PA"
"cashflow_NPV_dredge_check_buff27","   2471","  16652"," 35890","  17256","2.2e+00","1.7e+04","2.2e+00","PA"
"cashflow_NPV_dredge_check_buff28","   2346","  16500"," 35419","  17135","1.7e+00","1.7e+04","1.7e+00","PA"
"cashflow_NPV_dredge_check_buff29","   2202","  16512"," 35211","  16925","1.2e+00","1.7e+04","1.2e+00","PA"
"cashflow_NPV_dredge_check_buff30","   2047","  16411"," 34773","  16802","1.4e+00","1.7e+04","1.4e+00","PA"
"cashflow_NPV_dredge_check_nbuff1"," -70702"," -56603","-26628"," -52558","5.3e+04","7.9e+00","7.9e+00","SQ"
"cashflow_NPV_dredge_check_nbuff2","  -9743","   2184"," 15563","   2499","1.5e+03","4.0e+03","1.5e+03","PA"
"cashflow_NPV_dredge_check_nbuff3","  -8460","   2977"," 16438","   3409","1.3e+03","4.7e+03","1.3e+03","PA"
"cashflow_NPV_dredge_check_nbuff4","  -7234","   3611"," 17340","   4256","1.0e+03","5.3e+03","1.0e+03","PA"
"cashflow_NPV_dredge_check_nbuff5","  -6106","   4047"," 18041","   4939","8.2e+02","5.8e+03","8.2e+02","PA"
"cashflow_NPV_dredge_check_nbuff6","  -5327","   4345"," 19058","   5379","7.2e+02","6.1e+03","7.2e+02","PA"
"cashflow_NPV_dredge_check_nbuff7","  -3881","   4954"," 18995","   6090","5.1e+02","6.6e+03","5.1e+02","PA"
"cashflow_NPV_dredge_check_nbuff8","  -2584","   5403"," 19958","   6622","3.8e+02","7.0e+03","3.8e+02","PA"
"cashflow_NPV_dredge_check_nbuff9","  -1524","   5645"," 20558","   7085","2.7e+02","7.4e+03","2.7e+02","PA"
"cashflow_NPV_dredge_check_nbuff10","   -960","   6013"," 20745","   7358","2.0e+02","7.6e+03","2.0e+02","PA"
"cashflow_NPV_dredge_check_nbuff11","   -253","   6059"," 20257","   7530","1.4e+02","7.7e+03","1.4e+02","PA"
"cashflow_NPV_dredge_check_nbuff12","     63","   6195"," 20271","   7632","1.1e+02","7.7e+03","1.1e+02","PA"
"cashflow_NPV_dredge_check_nbuff13","    502","   6315"," 19677","   7718","6.1e+01","7.8e+03","6.1e+01","PA"
"cashflow_NPV_dredge_check_nbuff14","    681","   6477"," 19783","   7863","4.9e+01","7.9e+03","4.9e+01","PA"
"cashflow_NPV_dredge_check_nbuff15","    768","   6639"," 19371","   7925","3.5e+01","8.0e+03","3.5e+01","PA"
"cashflow_NPV_dredge_check_nbuff16","   1029","   6750"," 19068","   8007","2.0e+01","8.0e+03","2.0e+01","PA"
"cashflow_NPV_dredge_check_nbuff17","   1082","   6935"," 19015","   8113","2.0e+01","8.1e+03","2.0e+01","PA"
"cashflow_NPV_dredge_check_nbuff18","   1167","   6920"," 18589","   8030","1.6e+01","8.0e+03","1.6e+01","PA"
"cashflow_NPV_dredge_check_nbuff19","   1288","   6993"," 18463","   8086","1.1e+01","8.1e+03","1.1e+01","PA"
"cashflow_NPV_dredge_check_nbuff20","   1227","   6967"," 17950","   7961","8.5e+00","8.0e+03","8.5e+00","PA"
"cashflow_NPV_dredge_check_nbuff21","   1244","   6888"," 17385","   7807","8.5e+00","7.8e+03","8.5e+00","PA"
"cashflow_NPV_dredge_check_nbuff22","   1263","   6790"," 16941","   7620","9.7e+00","7.6e+03","9.7e+00","PA"
"cashflow_NPV_dredge_check_nbuff23","   1193","   6639"," 16501","   7469","6.9e+00","7.5e+03","6.9e+00","PA"
"cashflow_NPV_dredge_check_nbuff24","   1176","   6503"," 16119","   7296","7.3e+00","7.3e+03","7.3e+00","PA"
"cashflow_NPV_dredge_check_nbuff25","   1097","   6311"," 15805","   7064","6.5e+00","7.1e+03","6.5e+00","PA"
"cashflow_NPV_dredge_check_nbuff26","   1066","   6101"," 15041","   6832","6.1e+00","6.8e+03","6.1e+00","PA"
"cashflow_NPV_dredge_check_nbuff27","   1002","   5899"," 14681","   6607","5.4e+00","6.6e+03","5.4e+00","PA"
"cashflow_NPV_dredge_check_nbuff28","    957","   5750"," 14109","   6390","4.5e+00","6.4e+03","4.5e+00","PA"
"cashflow_NPV_dredge_check_nbuff29","    843","   5516"," 13523","   6104","4.8e+00","6.1e+03","4.8e+00","PA"
"cashflow_NPV_dredge_check_nbuff30","    837","   5297"," 13042","   5864","4.2e+00","5.9e+03","4.2e+00","PA"
"cashflow_NPV_dredge_ncheck_buff1","-259575","-169839","-15896","-144443","1.4e+05","3.2e+01","3.2e+01","SQ"
"cashflow_NPV_dredge_ncheck_buff2","  -6763","   6620"," 22276","   7185","8.6e+02","8.0e+03","8.6e+02","PA"
"cashflow_NPV_dredge_ncheck_buff3","  -5668","   7827"," 23290","   8165","7.5e+02","8.9e+03","7.5e+02","PA"
"cashflow_NPV_dredge_ncheck_buff4","  -5097","   8607"," 24706","   9038","6.5e+02","9.7e+03","6.5e+02","PA"
"cashflow_NPV_dredge_ncheck_buff5","  -4132","   9174"," 26046","   9674","5.3e+02","1.0e+04","5.3e+02","PA"
"cashflow_NPV_dredge_ncheck_buff6","  -3432","   9717"," 26803","  10265","4.6e+02","1.1e+04","4.6e+02","PA"
"cashflow_NPV_dredge_ncheck_buff7","  -2002","  10442"," 28101","  11050","3.4e+02","1.1e+04","3.4e+02","PA"
"cashflow_NPV_dredge_ncheck_buff8","  -1301","  10946"," 28511","  11589","2.6e+02","1.2e+04","2.6e+02","PA"
"cashflow_NPV_dredge_ncheck_buff9","   -563","  11439"," 29536","  12130","1.9e+02","1.2e+04","1.9e+02","PA"
"cashflow_NPV_dredge_ncheck_buff10","   -335","  12016"," 29837","  12596","1.7e+02","1.3e+04","1.7e+02","PA"
"cashflow_NPV_dredge_ncheck_buff11","    -22","  12453"," 31066","  13201","1.1e+02","1.3e+04","1.1e+02","PA"
"cashflow_NPV_dredge_ncheck_buff12","    103","  12979"," 31704","  13537","8.9e+01","1.4e+04","8.9e+01","PA"
"cashflow_NPV_dredge_ncheck_buff13","    238","  13302"," 31786","  13819","5.9e+01","1.4e+04","5.9e+01","PA"
"cashflow_NPV_dredge_ncheck_buff14","    319","  13527"," 32717","  14102","4.5e+01","1.4e+04","4.5e+01","PA"
"cashflow_NPV_dredge_ncheck_buff15","    441","  13740"," 32295","  14229","4.1e+01","1.4e+04","4.1e+01","PA"
"cashflow_NPV_dredge_ncheck_buff16","    512","  14020"," 32664","  14443","2.7e+01","1.4e+04","2.7e+01","PA"
"cashflow_NPV_dredge_ncheck_buff17","    472","  14342"," 32965","  14578","2.7e+01","1.5e+04","2.7e+01","PA"
"cashflow_NPV_dredge_ncheck_buff18","    518","  14447"," 32618","  14592","1.9e+01","1.5e+04","1.9e+01","PA"
"cashflow_NPV_dredge_ncheck_buff19","    570","  14672"," 32880","  14727","1.5e+01","1.5e+04","1.5e+01","PA"
"cashflow_NPV_dredge_ncheck_buff20","    508","  14795"," 32986","  14739","1.4e+01","1.5e+04","1.4e+01","PA"
"cashflow_NPV_dredge_ncheck_buff21","    547","  15000"," 32929","  14732","1.3e+01","1.5e+04","1.3e+01","PA"
"cashflow_NPV_dredge_ncheck_buff22","    477","  15140"," 32722","  14779","1.2e+01","1.5e+04","1.2e+01","PA"
