Description,label,variable,distribution,lower,median,upper
Years from the start o the implementation of the intervention to the end.,Project time horizon ,n_years,const,30,,30
Percentage risk that a natural hazard may occur.,Risk of natural hazard,NaturHazard,tnorm_0_1,0.1,,0.3
,discount rate,discount_rate,posnorm,1,,5
Percentage risk that a chosen intervention will be poorly managed.,Risk of bad maintenance,BadMaintenance,tnorm_0_1,0.2,,0.5
Percentage risk that a chosen intervention will be poorly designed.,Risk of bad design,BadDesign,tnorm_0_1,0.2,,0.5
Percentage risk that the communities surrounding the reservoir will not comply with requirements for intervention effectiveness.,Risk of non compliance,NonCompliance,tnorm_0_1,0.2,,0.5
Percentage risk that the communities surrounding the reservoir will not help with the implentation of the dredging intervention.,Risk pop non involv (dredg.),dredge_NonPopInvolv,tnorm_0_1,0.05,,0.15
"Percentage risk that the necessary donors (local and national goverments, local NGOs) will not help with the implentation of the dredging intervention.",Risk donors non involv (dredg.),dredge_NonDonorsInvolv,tnorm_0_1,0.04,,0.1
Percentage risk that the communities surrounding the reservoir will not help with the implentation of the check dam intervention.,Risk pop non involv (check d.),check_NonPopInvolv,tnorm_0_1,0.05,,0.15
"Percentage risk that the necessary institutions (local and national goverments, local NGOs) will not help with the implentation of the check dam intervention.",Risk instit. non involv (check d.),check_NonInstInvolv,tnorm_0_1,0.02,,0.1
"Percentage risk that the necessary donors (local and national goverments, local NGOs) will not help with the implentation of the check dam intervention.",Risk donors non involv (check d.),check_NonDonorsInvolv,tnorm_0_1,0.04,,0.1
Percentage risk that the communities surrounding the reservoir will not help with the implentation of the buffer strip intervention.,Risk pop non involv (buffer s.),buffer_NonPopInvolv,tnorm_0_1,0.1,,0.3
"Percentage risk that the necessary institutions (local and national goverments, local NGOs) will not help with the implentation of the buffer strip intervention.",Risk instit. non involv (buffer s.),buffer_NonInstInvolv,tnorm_0_1,0.05,,0.15
"Percentage risk that the necessary donors (local and national goverments, local NGOs) will not help with the implentation of the buffer strip intervention.",Risk donors non involv (buffer s.),buffer_NonDonorsInvolv,tnorm_0_1,0.04,,0.1
,,,,,,
The total current area (ha) of irrigattion downstream formal irrigation area (scheme 1),current irrigated area D/S ,current_irrig_area,posnorm,9,,10
,,,,,,
"Tropical Livestock Units that are kept in the reservoir area and, at least partly, dependent on reservoir water",TLU (baseline),TLU_no_buffer,posnorm,8700,,13000
Percentage change (reduction or growth of population) in Tropical Livestock Units that are kept in the reservoir area if the buffer strips are implemented,TLU change if buffer s.,change_TLU_buffer_perc,norm,-0.1,,0.1
Livestock keepers profit (USD) per Tropical Livestock Unit. ,profit per TLU,profit_per_TLU,posnorm,40,,120
,,,,,,
"Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).",coeff. Variation,var_CV,posnorm,5,,20
,,,,,,
The total t area (ha) of irrigattion downstream formal irrigation area (scheme 1) that would be lost if the pipes that provide water from the reservoir were clogged.,Irrigated area D/S lost if pipes clogged ,pipe_blocked_area_lost_perc,posnorm,10,,50
,,,,,,
The costs (USD) of a necessary study to plan the dredging intervention.,Study cost (dredg.),dredging_study_cost,posnorm,7200,,8000
The costs (USD) of necessary supervision to implement the dredging intervention.,Supervision costs (dredg.),dredging_supervision_cost,posnorm,1600,,4800
The costs (USD) of necessary administrative costs for implementing the dredging intervention.,Admin. costs (dredg.),dredging_admin_cost,posnorm,720,,880
The costs (USD) of necessary transportation when implementing the dredging intervention.,Transport costs (dredg.),dredging_transport_cost,posnorm,1450,,1930
The costs (USD) of necessary communications (phones etc.) when implementing the dredging intervention.,Comm. costs (dredg.),dredging_communication_cost,posnorm,720,,880
,Culvert-feasibility costs (dredg.),dredging_culvert_feasibility_cost,posnorm,1300,,1600
,Culvert-supervision costs (dredg.),dredging_culvert_supervision_cost,posnorm,640,,800
,,,,,,
,Localization cost (check d.),check_location_cost,posnorm,1600,,4800
,Feasibility cost (check d.),check_feasibility_cost,posnorm,9600,,14500
,Topobatymetry cost (check d.),check_topobatymetry_cost,posnorm,1000,,1600
,Supervision cost (check d.),check_supervision_cost,posnorm,960,,3200
,Training cost (check d.),check_training_cost,posnorm,960,,3200
,Communication cost (check d.),check_communication_cost,posnorm,1600,,4800
,Cost tech devices (check d.),check_tech_devices_cost,posnorm,640,,1300
,Material cost (check d.),check_material_cost,posnorm,5600,,10500
,Cost of rocks (check d.),check_rocks_cost,posnorm,4800,,8000
,Transport costs (check d.),check_transport_cost,posnorm,3200,,6400
,,,,,,
,Communication cost (buffer s.),buffer_communication_cost,posnorm,5000,,20000
,Zoning cost (buffer s.),buffer_zoning_cost,posnorm,3000,,29000
,Plantation cost (buffer s.),buffer_adaptation_cost,posnorm,20000,,130000
,Cost tech devices (buffer s.),buffer_tech_devices_cost,posnorm,1000,,4800
,Cost of the nursery (buffer s.),buffer_nursery_cost,posnorm,2000,,18000
,cost of digging wells (buffer s.),buffer_wells_cost,posnorm,20000,,80000
,Training cost (buffer s.),buffer_training_cost,posnorm,8000,,46000
,Equipment cost (buffer s.),buffer_mngmt_oprt_cost,const,0,,0
,Monitoring cost (buffer s.),buffer_mngmt_follow_cost,const,0,,0
,Audit cost (buffer s.),buffer_mngmt_audit_cost,const,0,,0
,,,,,,
,Annual fish value (baseline),current_annual_fish_value_USD,posnorm,500,,2000
,,,,,,
,Irrigated area D/S lost if hazard,Hazard_reduction_irrigated_area,posnorm,10,,30
,Irrigated area D/S lost if bad maint.,BadMaint_reduction_irrigated_area,posnorm,10,,30
,Irrigated area D/S lost if bad design,BadDesign_reduction_irrigated_area,posnorm,10,,30
,,,,,,
,Fish reduction if hazard,Hazard_reduction_fish_perc,posnorm,5,,15
,,,,,,
,maintenance cost (check d.),maintenance_check_dams,posnorm,160,,400
,maintenance cost (buffer s.),maintenance_buffer_strips,posnorm,800,,7000
,,,,,,
,current irrigated area U/S ,scheme2_area_no_dredging_ha,posnorm,0.5,,3
,increase in irrigated area U/S if dredg. ,dredging_bump_scheme2_area_perc,posnorm,10,,30
,Delay in irrigated area decline U/S (dredg.),scheme2_time_until_dredging_benefits_gone_baseline,posnorm,2,,4
,Delay in irrigated area decline U/S (check d.),check_dams_added_scheme2_area_benefit_time,posnorm,2,,4
,,,,,,
,Yields per ha-vegetable U/S ,scheme2_vegetable_yield_t_ha,posnorm,5,,10
,Profit per ton-vegetable U/S,scheme2_vegetable_profit_USD_t,posnorm,50,,150
,,,,,,
,Yields per ha-rice U/S ,scheme2_rice_yield_t_ha,posnorm,1.5,,2
,Profit per ton-rice U/S,scheme2_rice_profit_USD_t,norm,100,,500
,,,,,,
,Vegetable area in ha (buffer s.),buffer_vegetable_area_ha,posnorm,5,,7
,Fruit area in ha (buffer s.),buffer_fruit_area_ha,posnorm,1,,2
,Rainfed crop area in ha (buffer s.),buffer_rainfed_crop_area_ha,posnorm,6,,8
,,,,,,
,Yields per ha-vegetable (buffer s.),buffer_vegetable_yield_t_ha,posnorm,5,,10
,Yields per ha-fruit (buffer s.),buffer_fruit_yield_t_ha,posnorm,10,,30
,Yields per ha-rainfed crops (buffer s.),buffer_rainfed_crop_yield_t_ha,posnorm,1,,3
,,,,,,
,Profit per ton-vegetable (buffer s.),buffer_vegetable_profit_USD_t,posnorm,100,,200
,Profit per ton-fruit (buffer s.),buffer_fruit_profit_USD_t,posnorm,100,,200
,Profit per ton-rainfed crops (buffer s.),buffer_rainfed_crop_profit_USD_t,posnorm,50,,200
,,,,,,
,Rice area's share D/S in rainy season,proportion_irrigation_scheme_rice,tnorm_0_1,0.3,,0.6
,Yields per ha-rice D/S ,irrigation_scheme_rice_yield_t_ha,posnorm,1.5,,2.5
,Profit per ton-rice D/S,irrigation_scheme_rice_profit_USD_t,posnorm,100,,500
