Description,label,variable,distribution,lower,median,upper
,,,,,,
GENERAL,,,,,,
,,,,,,
Years from the start of the implementation of the intervention to the end.,Project time horizon ,n_years,const,30,,30
"Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).",coeff. Variation,var_CV,posnorm,5,,20
Percentage discounting as a measurement of time preference for benefits and costs.,discount rate,discount_rate,posnorm,1,,5
,,,,,,
GENERAL RISKS,,,,,,
,,,,,,
Percentage risk that a natural hazard may occur.,Risk of natural hazard,NaturHazard,tnorm_0_1,0.1,,0.3
Percentage risk that a chosen intervention will be poorly managed.,Risk of bad maintenance,BadMaintenance,tnorm_0_1,0.2,,0.5
Percentage risk that a chosen intervention will be poorly designed.,Risk of bad design,BadDesign,tnorm_0_1,0.2,,0.5
Percentage risk that the communities surrounding the reservoir will not comply with requirements for intervention effectiveness.,Risk of non compliance,NonCompliance,tnorm_0_1,0.2,,0.5
Percentage risk that the communities surrounding the reservoir will not help with the implementation of the dredging intervention.,Risk pop non involv (dredg.),dredge_NonPopInvolv,tnorm_0_1,0.05,,0.15
"Percentage risk that the necessary donors (local and national governments, local NGOs) will not help with the implementation of the dredging intervention.",Risk donors non involv (dredg.),dredge_NonDonorsInvolv,tnorm_0_1,0.04,,0.1
Percentage risk that the communities surrounding the reservoir will not help with the implementation of the check dam intervention.,Risk pop non involv (check d.),check_NonPopInvolv,tnorm_0_1,0.05,,0.15
"Percentage risk that the necessary institutions (local and national governments, local NGOs) will not help with the implementation of the check dam intervention.",Risk instit. non involv (check d.),check_NonInstInvolv,tnorm_0_1,0.02,,0.1
"Percentage risk that the necessary donors (local and national governments, local NGOs) will not help with the implementation of the check dam intervention.",Risk donors non involv (check d.),check_NonDonorsInvolv,tnorm_0_1,0.04,,0.1
Percentage risk that the communities surrounding the reservoir will not help with the implementation of the buffer strip intervention.,Risk pop non involv (buffer s.),buffer_NonPopInvolv,tnorm_0_1,0.1,,0.3
"Percentage risk that the necessary institutions (local and national governments, local NGOs) will not help with the of the buffer strip intervention.",Risk instit. non involv (buffer s.),buffer_NonInstInvolv,tnorm_0_1,0.05,,0.15
"Percentage risk that the necessary donors (local and national governments, local NGOs) will not help with the implementation of the buffer strip intervention.",Risk donors non involv (buffer s.),buffer_NonDonorsInvolv,tnorm_0_1,0.04,,0.1
,,,,,,
IRRGATION AREA,,,,,,
,,,,,,
The total current area (ha) of irigation downstream formal irrigation area (scheme 1),current irrigated area D/S ,current_irrig_area,posnorm,9,,10
,,,,,,
LIVESTOCK,,,,,,
,,,,,,
"Tropical Livestock Units that are kept in the reservoir area and, at least partly, dependent on reservoir water",TLU (baseline),TLU_no_buffer,posnorm,8700,,13000
Percentage change (reduction or growth of population) in Tropical Livestock Units that are kept in the reservoir area if the buffer strips are implemented,TLU change if buffer s.,change_TLU_buffer_perc,norm,-0.1,,0.1
