label,variable,distribution,lower,median,upper,,,,Definition of the variables,,,,,,,,,,
Project time horizon ,n_years,const,30,,30,,,,time horizon of the project (in years),,,,,,,,,,
Risk of natural hazard,NaturHazard,tnorm_0_1,0.1,,0.3,,,,"Probability that a natural hazard occurs, ex-post risk (between 0 and 1)",,,,,,,,,,
Discount rate,discount_rate,posnorm,1,,5,,,,Discount rate (used for costs and benefits),,,,,,,,,,
Risk of bad maint.,BadMaintenance,tnorm_0_1,0.2,,0.5,,,,"Probability of bad maintenance, relevant only for check dams and buffer strips, ex-post risk (between 0 and 1)",,,,,,,,,,
Risk of bad design,BadDesign,tnorm_0_1,0.2,,0.5,,,,"Probability that the intervention is not properly designed, ex-post risk (between 0 and 1)",,,,,,,,,,
Risk of non compliance,NonCompliance,tnorm_0_1,0.2,,0.5,,,,"Probability that farmers do not comply with rules resulting from an intervention, e.g. they cultivate again on the banks of the reservoir (between 0 and 1)",,,,,,,,,,
Risk pop. non involv. (dredg.),dredge_NonPopInvolv,tnorm_0_1,0.05,,0.15,,,,"Probability that population do not contribute to the dredging, e.g. no labor supply, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk donors non involv. (dredg.),dredge_NonDonorsInvolv,tnorm_0_1,0.04,,0.1,,,,"Probability that donors do not contribute to the dredging, e.g. no funding, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk pop non involv. (check d.),check_NonPopInvolv,tnorm_0_1,0.05,,0.15,,,,"Probability that population do not contribute to check dams, e.g. no labor supply, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk instit. non involv. (check d.),check_NonInstInvolv,tnorm_0_1,0.02,,0.1,,,,"Probability that institutions do not support check dams, e.g. no enforcement upstream, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk donors non involv. (check d.),check_NonDonorsInvolv,tnorm_0_1,0.04,,0.1,,,,"Probability that donors to not contribute to the check dams, e.g. no funding, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk pop non involv. (buffer s.),buffer_NonPopInvolv,tnorm_0_1,0.1,,0.3,,,,"Probability that population do not support buffer strips, e.g. no labor supply, no compliance, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk instit. non involv. (buffer s.),buffer_NonInstInvolv,tnorm_0_1,0.05,,0.15,,,,"Probability that institutions do not support buffer strips, e.g. no participation in the implementation, ex-ante risk (between 0 and 1)",,,,,,,,,,
Risk donors non involv. (buffer s.),buffer_NonDonorsInvolv,tnorm_0_1,0.04,,0.1,,,,"Probability that donors to not contribute to buffer strips, e.g. no funding, ex-ante risk (between 0 and 1)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Current formal irrig. area,current_irrig_area,posnorm,9,,10,,,,Current irrigation formal irrigation area (in ha),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TLU (base),TLU_no_buffer,posnorm,8700,,13000,,,,Total livestock population (TLU) in the current situation (baseline case),,,,,,,,,,
TLU change (buffer s.),change_TLU_buffer_perc,norm,-0.1,,0.1,,,,"Change in the total livestock population (TLU) if buffer strips are implemented (in percent, with respect to the baseline)",,,,,,,,,,
profit per TLU,profit_per_TLU,posnorm,40,,120,,,,Current profit generated per TU (in dollars),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
